,year,month,plot_code,tree_tag,correction,A_sun,A_shade,r_sun,r_shade
90,11,6,1,30,0,9.242121212,7.3625,-1.696390374,-0.7
91,11,6,1,42,0,6.01525974,6.166666667,-0.6425,-1.307692308
92,11,6,1,55,0,7.055438596,7.963636364,-0.769545455,-0.418181818
93,11,6,1,80,0,6.685,3.316666667,-0.246153846,-0.133333333
94,11,6,1,86,0,15.91230769,14.70909091,-1.150925926,-0.833333333
95,11,6,1,11,0,0.122977941,0.376470588,-0.525,-0.175
96,11,6,1,166,0,5.647647059,3.69,-0.454545455,-0.466666667
97,11,6,1,211,0,2.105231561,2.763636364,-0.6,-0.36
98,11,6,1,233,0,2.356818182,4.21,-1.408116883,-1.452631579
99,11,6,1,269,0,0.253611111,2.942105263,-0.6075,-0.894736842
100,11,6,1,274,0,3.321666667,3.631578947,-1.393571429,-1.285714286
101,11,6,1,314,0,3.389166667,2.881818182,-1.475,-0.355
102,11,6,1,347,0,1.501833977,1.75,-0.752083333,-0.433333333
103,11,6,1,0,0,2.964166667,NA,-0.726648352,NA
104,11,6,1,1,0,NA,NA,NA,NA
105,11,6,2,122,0,2.922727273,NA,-1.511813187,NA
106,11,6,2,138,0,1.066666667,NA,-0.777777778,NA
107,11,6,2,143,0,6.714166667,NA,-0.761775362,NA
108,11,6,2,155,0,2.611616162,NA,-3.140460526,NA
109,11,6,2,195,0,4.201666667,NA,-0.609090909,NA
110,11,6,2,208,0,0.018181818,NA,-0.861344538,NA
111,11,6,2,223,0,5.466078431,NA,-0.788095238,NA
112,11,6,2,236,0,3.3875,NA,-0.271060606,NA
113,11,6,2,252,0,0.718907563,NA,-0.720879121,NA
114,11,6,2,271,0,1.533214286,NA,-0.286363636,NA
115,11,6,2,277,0,0.082579186,NA,-0.247321429,NA
116,11,6,2,27,0,4.568686869,NA,-1.041883117,NA
117,11,6,2,330,0,3.655,NA,-0.957631579,NA
118,11,6,2,346,0,4.4975,NA,-0.759090909,NA
119,11,6,2,41,0,0.061764706,NA,-1.004545455,NA
120,11,6,2,48,0,0.550721154,NA,-0.064285714,NA
121,11,6,2,67,0,1.977272727,NA,-0.35,NA
122,11,6,2,79,0,2.291176471,NA,-0.55,NA
123,11,6,2,7,0,12.44863636,NA,-1.586363636,NA
124,11,6,2,1,0,NA,NA,NA,NA
125,10,8,5,1,0,NA,NA,-0.765843001,-0.521181563
126,10,2,5,1,0,NA,NA,-0.712831889,-0.515476959
127,10,8,6,1,0,NA,NA,-0.765843001,-0.521181563
128,10,2,6,1,0,NA,NA,-0.712831889,-0.515476959
