"","year","month","plot","tree_number","correction","sun_or_shade","Assimilation"
"135",10,11,1,55,0,"shade",2.263636364
"136",10,11,1,80,0,"shade",2.727272727
"137",10,11,1,86,0,"shade",7.494736842
"138",10,11,1,11,0,"shade",0.133333333
"139",10,11,1,141,0,"shade",NA
"140",10,11,1,152,0,"shade",2.830434783
"141",10,11,1,166,0,"shade",0.270833333
"142",10,11,1,176,0,"shade",2.85
"143",10,11,1,19,0,"shade",5.85
"144",10,11,1,211,0,"shade",0.663888889
"145",10,11,1,223,0,"shade",0
"146",10,11,1,274,0,"shade",-0.216
"147",10,11,1,314,0,"shade",-0.505
"148",10,11,1,347,0,"shade",-0.283333333
"149",10,11,1,374,0,"shade",1.445454545
"150",10,11,2,100,0,"shade",NA
"151",10,11,2,122,0,"shade",NA
"152",10,11,2,138,0,"shade",NA
"153",10,11,2,27,0,"shade",NA
"154",10,11,2,41,0,"shade",NA
"155",10,11,2,48,0,"shade",NA
"156",10,11,2,66,0,"shade",NA
"157",10,11,2,7,0,"shade",NA
"158",10,11,2,138,0,"shade",NA
"159",10,11,2,143,0,"shade",NA
"160",10,11,2,155,0,"shade",NA
"161",10,11,2,167,0,"shade",NA
"162",10,11,2,179,0,"shade",NA
"163",10,11,2,195,0,"shade",NA
"164",10,11,2,208,0,"shade",NA
"165",10,11,2,223,0,"shade",NA
"166",10,11,2,236,0,"shade",NA
"167",10,11,2,252,0,"shade",NA
"168",10,11,2,271,0,"shade",NA
"169",10,11,2,277,0,"shade",NA
"170",10,11,2,330,0,"shade",NA
"171",10,11,2,346,0,"shade",NA
"172",10,11,3,136,-0.078,"shade",7.848
"173",10,11,3,160,-0.078,"shade",6.438
"174",10,11,3,182,-0.078,"shade",1.224666667
"175",10,11,3,19,-0.078,"shade",3.750727273
"176",10,11,3,212,-0.078,"shade",6.418
"177",10,11,3,232,-0.078,"shade",10.25694737
"178",10,11,3,236,-0.078,"shade",5.091333333
"179",10,11,3,264,-0.078,"shade",NA
"180",10,11,3,298,-0.078,"shade",3.466888889
"181",10,11,3,330,-0.078,"shade",8.138
"182",10,11,3,72,-0.078,"shade",8.011333333
"183",10,11,3,98,-0.078,"shade",7.819666667
"184",10,11,3,341,-0.078,"shade",14.18871429
"185",10,11,3,459,-0.078,"shade",5.938
"186",10,11,3,465,-0.078,"shade",7.09675
"187",10,11,3,498,-0.078,"shade",1.625058824
"188",10,11,3,511,-0.078,"shade",7.340222222
"189",10,11,3,553,-0.078,"shade",6.700916667
"190",10,11,3,558,-0.078,"shade",5.903
"191",10,11,3,619,-0.078,"shade",5.831333333
"192",10,11,3,425,-0.078,"shade",12.99466667
"193",10,11,4,219,-0.078,"shade",-0.232
"194",10,11,4,288,-0.078,"shade",4.939145704
"195",10,11,4,354,-0.078,"shade",0.888526316
"196",10,11,4,390,-0.078,"shade",1.698897833
"197",10,11,4,410,-0.078,"shade",6.188810811
"198",10,11,4,439,-0.078,"shade",0.725619048
"199",10,11,4,472,-0.078,"shade",NA
"200",10,11,4,498,-0.078,"shade",0.078
"201",10,11,4,129,-0.078,"shade",3.211333333
"202",10,11,4,146,-0.078,"shade",8.396181818
"203",10,11,4,184,-0.078,"shade",4.268
"204",10,11,4,233,-0.078,"shade",9.238
"205",10,11,4,279,-0.078,"shade",8.769666667
"206",10,11,4,330,-0.078,"shade",5.228
"207",10,11,4,375,-0.078,"shade",7.664666667
"208",10,11,4,479,-0.078,"shade",NA
"209",10,11,4,58,-0.078,"shade",5.258
"210",10,11,4,83,-0.078,"shade",4.518
"211",10,11,4,98,-0.078,"shade",0.059818182
"212",11,6,1,113,0,"shade",5.4
"213",11,6,1,133,0,"shade",8.984615385
"214",11,6,1,141,0,"shade",14.95294118
"215",11,6,1,152,0,"shade",4.218181818
"216",11,6,1,176,0,"shade",1.178571429
"217",11,6,1,24,0,"shade",4.445454545
"218",11,6,1,30,0,"shade",7.3625
"219",11,6,1,42,0,"shade",6.166666667
"220",11,6,1,55,0,"shade",7.963636364
"221",11,6,1,80,0,"shade",3.316666667
"222",11,6,1,86,0,"shade",14.70909091
"223",11,6,1,11,0,"shade",0.376470588
"224",11,6,1,166,0,"shade",3.69
"225",11,6,1,211,0,"shade",2.763636364
"226",11,6,1,233,0,"shade",4.21
"227",11,6,1,269,0,"shade",2.942105263
"228",11,6,1,274,0,"shade",3.631578947
"229",11,6,1,314,0,"shade",2.881818182
"230",11,6,1,347,0,"shade",1.75
"231",11,6,1,0,0,"shade",NA
"232",11,6,1,1,0,"shade",NA
"233",11,6,2,122,0,"shade",NA
"234",11,6,2,138,0,"shade",NA
"235",11,6,2,143,0,"shade",NA
"236",11,6,2,155,0,"shade",NA
"237",11,6,2,195,0,"shade",NA
"238",11,6,2,208,0,"shade",NA
"239",11,6,2,223,0,"shade",NA
"240",11,6,2,236,0,"shade",NA
"241",11,6,2,252,0,"shade",NA
"242",11,6,2,271,0,"shade",NA
"243",11,6,2,277,0,"shade",NA
"244",11,6,2,27,0,"shade",NA
"245",11,6,2,330,0,"shade",NA
"246",11,6,2,346,0,"shade",NA
"247",11,6,2,41,0,"shade",NA
"248",11,6,2,48,0,"shade",NA
"249",11,6,2,67,0,"shade",NA
"250",11,6,2,79,0,"shade",NA
"251",11,6,2,7,0,"shade",NA
"252",11,6,2,1,0,"shade",NA
"253",10,8,5,1,0,"shade",NA
"254",10,2,5,1,0,"shade",NA
"255",10,8,6,1,0,"shade",NA
"256",10,2,6,1,0,"shade",NA
