,year,month,plot_code,tree_tag,correction,sun_or_shade,Dark_resp
144,10,11,1,211,0,shade,-1.8
145,10,11,1,223,0,shade,-0.76
146,10,11,1,274,0,shade,-0.7
147,10,11,1,314,0,shade,-0.814285714
148,10,11,1,347,0,shade,-0.264285714
149,10,11,1,374,0,shade,-0.608108108
150,10,11,2,100,0,shade,NA
151,10,11,2,122,0,shade,NA
152,10,11,2,138,0,shade,NA
153,10,11,2,27,0,shade,NA
154,10,11,2,41,0,shade,NA
155,10,11,2,48,0,shade,NA
156,10,11,2,66,0,shade,NA
157,10,11,2,7,0,shade,NA
158,10,11,2,138,0,shade,NA
159,10,11,2,143,0,shade,NA
160,10,11,2,155,0,shade,NA
161,10,11,2,167,0,shade,NA
162,10,11,2,179,0,shade,NA
163,10,11,2,195,0,shade,NA
164,10,11,2,208,0,shade,NA
165,10,11,2,223,0,shade,NA
166,10,11,2,236,0,shade,NA
167,10,11,2,252,0,shade,NA
168,10,11,2,271,0,shade,NA
169,10,11,2,277,0,shade,NA
170,10,11,2,330,0,shade,NA
171,10,11,2,346,0,shade,NA
172,10,11,3,136,-0.078,shade,-0.503818182
173,10,11,3,160,-0.078,shade,-0.017238095
174,10,11,3,182,-0.078,shade,-1.382
175,10,11,3,19,-0.078,shade,-1.666444444
176,10,11,3,212,-0.078,shade,-1.072
177,10,11,3,232,-0.078,shade,NA
178,10,11,3,236,-0.078,shade,-0.122
179,10,11,3,264,-0.078,shade,-1.342
180,10,11,3,298,-0.078,shade,-0.122
181,10,11,3,330,-0.078,shade,-2.767454545
182,10,11,3,72,-0.078,shade,-0.949777778
183,10,11,3,98,-0.078,shade,-0.667
184,10,11,3,341,-0.078,shade,-1.054142857
185,10,11,3,459,-0.078,shade,0.050727273
186,10,11,3,465,-0.078,shade,0.050727273
187,10,11,3,498,-0.078,shade,0.028
188,10,11,3,511,-0.078,shade,-0.133111111
189,10,11,3,553,-0.078,shade,-1.007714286
190,10,11,3,558,-0.078,shade,-0.422
191,10,11,3,619,-0.078,shade,-0.529142857
192,10,11,3,425,-0.078,shade,NA
193,10,11,4,219,-0.078,shade,0.111333333
194,10,11,4,288,-0.078,shade,-0.649272727
195,10,11,4,354,-0.078,shade,-0.456782609
196,10,11,4,390,-0.078,shade,-0.920484848
197,10,11,4,410,-0.078,shade,-0.843875
198,10,11,4,439,-0.078,shade,-0.817
199,10,11,4,472,-0.078,shade,-0.325846154
200,10,11,4,498,-0.078,shade,-0.738666667
201,10,11,4,129,-0.078,shade,-1.012909091
202,10,11,4,146,-0.078,shade,-0.638666667
203,10,11,4,184,-0.078,shade,-2.662
204,10,11,4,233,-0.078,shade,-0.9345
205,10,11,4,279,-0.078,shade,-0.994727273
206,10,11,4,330,-0.078,shade,-1.714857143
207,10,11,4,375,-0.078,shade,-0.724173913
208,10,11,4,479,-0.078,shade,-1.167454545
209,10,11,4,58,-0.078,shade,-0.732
210,10,11,4,83,-0.078,shade,-1.700571429
211,10,11,4,98,-0.078,shade,-0.958363636
212,11,6,1,113,0,shade,-0.4
213,11,6,1,133,0,shade,-0.541176471
214,11,6,1,141,0,shade,-0.584615385
215,11,6,1,152,0,shade,-0.627083333
216,11,6,1,176,0,shade,-0.372727273
217,11,6,1,24,0,shade,-1.022222222
218,11,6,1,30,0,shade,-0.7
219,11,6,1,42,0,shade,-1.307692308
220,11,6,1,55,0,shade,-0.418181818
221,11,6,1,80,0,shade,-0.133333333
222,11,6,1,86,0,shade,-0.833333333
223,11,6,1,11,0,shade,-0.175
224,11,6,1,166,0,shade,-0.466666667
225,11,6,1,211,0,shade,-0.36
226,11,6,1,233,0,shade,-1.452631579
227,11,6,1,269,0,shade,-0.894736842
228,11,6,1,274,0,shade,-1.285714286
229,11,6,1,314,0,shade,-0.355
230,11,6,1,347,0,shade,-0.433333333
231,11,6,1,0,0,shade,NA
232,11,6,1,1,0,shade,NA
233,11,6,2,122,0,shade,NA
234,11,6,2,138,0,shade,NA
235,11,6,2,143,0,shade,NA
236,11,6,2,155,0,shade,NA
237,11,6,2,195,0,shade,NA
238,11,6,2,208,0,shade,NA
239,11,6,2,223,0,shade,NA
240,11,6,2,236,0,shade,NA
241,11,6,2,252,0,shade,NA
242,11,6,2,271,0,shade,NA
243,11,6,2,277,0,shade,NA
244,11,6,2,27,0,shade,NA
245,11,6,2,330,0,shade,NA
246,11,6,2,346,0,shade,NA
247,11,6,2,41,0,shade,NA
248,11,6,2,48,0,shade,NA
249,11,6,2,67,0,shade,NA
250,11,6,2,79,0,shade,NA
251,11,6,2,7,0,shade,NA
252,11,6,2,1,0,shade,NA
253,10,8,5,1,0,shade,-0.521181563
254,10,2,5,1,0,shade,-0.515476959
255,10,8,6,1,0,shade,-0.521181563
256,10,2,6,1,0,shade,-0.515476959
