"","species","genus","year","height_final","density","dbh","AG_biomass_MgC","date","ABG_biomass_MgC","BG_biomass_MgC"
"1","gabonensis","Irvingia","2014",5.1962495788926,0.6606522,30,0.000717113704633906,2014-08-26,0.000867707582607027,0.00015059387797312
"2","gabonensis","Irvingia","2014",4.81826827281139,0.6606522,25.5,0.000480426382445892,2014-08-26,0.000581315922759529,0.000100889540313637
"3","gabonensis","Irvingia","2014",5.1150290536753,0.6606522,29,0.000659628803246718,2014-08-26,0.000798150851928529,0.000138522048681811
"4","gabonensis","Irvingia","2014",4.63881433805992,0.6606522,23.5,0.000392824192056075,2014-08-26,0.000475317272387851,8.24930803317758e-05
"5","gabonensis","Irvingia","2014",6.33804501875472,0.6606522,46,0.00205648948631206,2014-08-26,0.00248835227843759,0.000431862792125533
"6","gabonensis","Irvingia","2014",5.69205711696516,0.6606522,36.5,0.00116281463427916,2014-08-26,0.00140700570747779,0.000244191073198624
"7","gabonensis","Irvingia","2014",4.77413260057603,0.6606522,25,0.000457540987499398,2014-08-26,0.000553624594874271,9.60836073748735e-05
"8","gabonensis","Irvingia","2014",4.72952183303222,0.6606522,24.5,0.000435316284695424,2014-08-26,0.000526732704481463,9.1416419786039e-05
"9","gabonensis","Irvingia","2014",NA,0.6606522,NA,NA,2014-08-26,NA,NA
"10","gabonensis","Irvingia","2014",4.35355238419755,0.6606522,20.5,0.000280547890270701,2014-08-26,0.000339462947227548,5.89150569568472e-05
"11","gabonensis","Irvingia","2014",4.40257802491125,0.6606522,21,0.00029771530501578,2014-08-26,0.000360235519069094,6.25202140533138e-05
"12","gabonensis","Irvingia","2014",6.4958493031916,0.6606522,48.5,0.00234301424453667,2014-08-26,0.00283504723588937,0.000492032991352701
"13","gabonensis","Irvingia","2014",4.99033451034052,0.6606522,27.5,0.000578696100992465,2014-08-26,0.000700222282200882,0.000121526181208418
"14","gabonensis","Irvingia","2014",5.69205711696516,0.6606522,36.5,0.00116281463427916,2014-08-26,0.00140700570747779,0.000244191073198624
"15","gabonensis","Irvingia","2014",4.86194307900457,0.6606522,26,0.000503978577684677,2014-08-26,0.000609814078998459,0.000105835501313782
"16","gabonensis","Irvingia","2014",6.64935647170308,0.6606522,51,0.0026520119631525,2014-08-26,0.00320893447541453,0.000556922512262025
"17","gabonensis","Irvingia","2014",4.40257802491125,0.6606522,21,0.00029771530501578,2014-08-26,0.000360235519069094,6.25202140533138e-05
"18","gabonensis","Irvingia","2014",6.50621304765193,0.6606522,48.6666666666667,0.00236290898081233,2014-08-26,0.00285911986678292,0.000496210885970589
"19","gabonensis","Irvingia","2014",6.10919645456564,0.6606522,42.5,0.00169206663411971,2014-08-26,0.00204740062728485,0.00035533399316514
"20","gabonensis","Irvingia","2014",4.54601612035086,0.6606522,22.5,0.000352899886098779,2014-08-26,0.000427008862179523,7.41089760807436e-05
"21","gabonensis","Irvingia","2014",4.54601612035086,0.6606522,22.5,0.000352899886098779,2014-08-26,0.000427008862179523,7.41089760807436e-05
"22","gabonensis","Irvingia","2014",5.35445101970989,0.6606522,32,0.000840756855774752,2014-08-26,0.00101731579548745,0.000176558939712698
"23","gabonensis","Irvingia","2014",8.05237506319347,0.6606522,77,0.00732084068878409,2014-08-26,0.00885821723342875,0.00153737654464466
"24","gabonensis","Irvingia","2014",4.40257802491125,0.6606522,21,0.00029771530501578,2014-08-26,0.000360235519069094,6.25202140533138e-05
"25","gabonensis","Irvingia","2014",4.40257802491125,0.6606522,21,0.00029771530501578,2014-08-26,0.000360235519069094,6.25202140533138e-05
"26","gabonensis","Irvingia","2014",4.59268522532594,0.6606522,23,0.000372544248734258,2014-08-26,0.000450778540968452,7.82342922341941e-05
"27","gabonensis","Irvingia","2014",6.07569131160898,0.6606522,42,0.00164342463146134,2014-08-26,0.00198854380406822,0.000345119172606882
"28","gabonensis","Irvingia","2014",4.54601612035086,0.6606522,22.5,0.000352899886098779,2014-08-26,0.000427008862179523,7.41089760807436e-05
"29","gabonensis","Irvingia","2014",5.4696568025996,0.6606522,33.5,0.000941250460539896,2014-08-26,0.00113891305725327,0.000197662596713378
"30","gabonensis","Irvingia","2014",7.83016343400383,0.6606522,72.5,0.00631106060322246,2014-08-26,0.00763638332989918,0.00132532272667672
"31","gabonensis","Irvingia","2014",5.35445101970989,0.6606522,32,0.000840756855774752,2014-08-26,0.00101731579548745,0.000176558939712698
"32","gabonensis","Irvingia","2014",6.91583629474184,0.6606522,55.5,0.00326652646620546,2014-08-26,0.0039524970241086,0.000685970557903145
"33","gabonensis","Irvingia","2014",8.00360840423681,0.6606522,76,0.00708873149688428,2014-08-26,0.00857736511122998,0.0014886336143457
"34","gabonensis","Irvingia","2014",4.72952183303222,0.6606522,24.5,0.000435316284695424,2014-08-26,0.000526732704481463,9.1416419786039e-05
"35","gabonensis","Irvingia","2014",4.54601612035086,0.6606522,22.5,0.000352899886098779,2014-08-26,0.000427008862179523,7.41089760807436e-05
"36","gabonensis","Irvingia","2014",5.79958866790363,0.6606522,38,0.0012841622422887,2014-08-26,0.00155383631316932,0.000269674070880626
"37","gabonensis","Irvingia","2014",8.8563529626598,0.6606522,94.5,0.0121275770982142,2014-08-26,0.0146743682888392,0.00254679119062498
"38","gabonensis","Irvingia","2014",4.49878848674672,0.6606522,22,0.000333884645345585,2014-08-26,0.000404000420868157,7.01157755225727e-05
"39","gabonensis","Irvingia","2014",NA,0.6606522,NA,NA,2014-08-26,NA,NA
"40","gabonensis","Irvingia","2014",5.27603337795375,0.6606522,31,0.000777474999231489,2014-08-26,0.000940744749070102,0.000163269749838613
"41","gabonensis","Irvingia","2014",6.04197196493164,0.6606522,41.5,0.00159562344813898,2014-08-26,0.00193070437224816,0.000335080924109185
"42","gabonensis","Irvingia","2014",NA,0.6606522,NA,NA,2014-08-26,NA,NA
"43","gabonensis","Irvingia","2014",4.63881433805992,0.6606522,23.5,0.000392824192056075,2014-08-26,0.000475317272387851,8.24930803317758e-05
"44","gabonensis","Irvingia","2014",5.1962495788926,0.6606522,30,0.000717113704633906,2014-08-26,0.000867707582607027,0.00015059387797312
"45","gabonensis","Irvingia","2014",7.83016343400383,0.6606522,72.5,0.00631106060322246,2014-08-26,0.00763638332989918,0.00132532272667672
"46","gabonensis","Irvingia","2014",5.76400150268945,0.6606522,37.5,0.00124291700928736,2014-08-26,0.0015039295812377,0.000261012571950345
"47","gabonensis","Irvingia","2014",4.30388238166584,0.6606522,20,0.000263982961143701,2014-08-26,0.000319419382983878,5.54364218401771e-05
"48","gabonensis","Irvingia","2014",4.59268522532594,0.6606522,23,0.000372544248734258,2014-08-26,0.000450778540968452,7.82342922341941e-05
"49","gabonensis","Irvingia","2014",5.07385628334521,0.6606522,28.5,0.000631950980866259,2014-08-26,0.000764660686848173,0.000132709705981914
"50","gabonensis","Irvingia","2014",4.54601612035086,0.6606522,22.5,0.000352899886098779,2014-08-26,0.000427008862179523,7.41089760807436e-05
"51","gabonensis","Irvingia","2014",6.4958493031916,0.6606522,48.5,0.00234301424453667,2014-08-26,0.00283504723588937,0.000492032991352701
"52","gabonensis","Irvingia","2014",5.39316805089746,0.6606522,32.5,0.0008735065896426,2014-08-26,0.00105694297346755,0.000183436383824946
"53","gabonensis","Irvingia","2014",4.99033451034052,0.6606522,27.5,0.000578696100992465,2014-08-26,0.000700222282200882,0.000121526181208418
"54","gabonensis","Irvingia","2014",5.39316805089746,0.6606522,32.5,0.0008735065896426,2014-08-26,0.00105694297346755,0.000183436383824946
"55","gabonensis","Irvingia","2014",6.33804501875472,0.6606522,46,0.00205648948631206,2014-08-26,0.00248835227843759,0.000431862792125533
"56","gabonensis","Irvingia","2014",4.72952183303222,0.6606522,24.5,0.000435316284695424,2014-08-26,0.000526732704481463,9.1416419786039e-05
"57","gabonensis","Irvingia","2014",4.86194307900457,0.6606522,26,0.000503978577684677,2014-08-26,0.000609814078998459,0.000105835501313782
"58","gabonensis","Irvingia","2014",7.67789368060383,0.6606522,69.5,0.00568679029612189,2014-08-26,0.00688101625830749,0.0011942259621856
"59","gabonensis","Irvingia","2014",4.72952183303222,0.6606522,24.5,0.000435316284695424,2014-08-26,0.000526732704481463,9.1416419786039e-05
"60","gabonensis","Irvingia","2014",5.58213294442463,0.6606522,35,0.00104855635013073,2014-08-26,0.00126875318365819,0.000220196833527454
"61","gabonensis","Irvingia","2014",5.39316805089746,0.6606522,32.5,0.0008735065896426,2014-08-26,0.00105694297346755,0.000183436383824946
"62","gabonensis","Irvingia","2014",5.54493281920245,0.6606522,34.5,0.00101202208351792,2014-08-26,0.00122454672105669,0.000212524637538764
"63","gabonensis","Irvingia","2014",5.93948832809188,0.6606522,40,0.00145721799759896,2014-08-26,0.00176323377709475,0.000306015779495783
"64","gabonensis","Irvingia","2014",8.17282801505932,0.6606522,79.5,0.00792067379723868,2014-08-26,0.0095840152946588,0.00166334149742012
"65","gabonensis","Irvingia","2014",5.65568909478627,0.6606522,36,0.00112394753568267,2014-08-26,0.00135997651817604,0.000236028982493362
"66","gabonensis","Irvingia","2014",6.14249125084587,0.6606522,43,0.00174155409297328,2014-08-26,0.00210728045249767,0.000365726359524389
"67","gabonensis","Irvingia","2014",4.72952183303222,0.6606522,24.5,0.000435316284695424,2014-08-26,0.000526732704481463,9.1416419786039e-05
"68","gabonensis","Irvingia","2014",4.77413260057603,0.6606522,25,0.000457540987499398,2014-08-26,0.000553624594874271,9.60836073748735e-05
"69","gabonensis","Irvingia","2014",5.15582355225013,0.6606522,29.5,0.000688014495932636,2014-08-26,0.00083249754007849,0.000144483044145854
