"","plot_code","tree_tag","dbh_year1","year1","month","day","agC_year1","year2","agC_year2","dbh_year2","AG_npp_per_tree_MgC_year","ABG_npp_per_tree_MgC_year","BG_npp_per_tree_MgC_year"
"1344","MNG-04","237",31,"2015","6","3",0.000777474999231489,"2013",0.00074693202406242,30.5,-1.66142860457683e-05,-2.01032861153796e-05,-3.48900006961134e-06
"1345","MNG-04","238",20,"2015","6","3",0.000263982961143701,"2013",0.00029771530501578,21,1.83491885444247e-05,2.22025181387538e-05,3.85332959432918e-06
"1346","MNG-04","239",27.5,"2015","6","3",0.000578696100992465,"2013",0.000457540987499398,25,-6.59040483233524e-05,-7.97438984712564e-05,-1.3839850147904e-05
"1347","MNG-04","240",33,"2015","6","3",0.000907002686487076,"2013",0.000808748126701487,31.5,-5.34469662022951e-05,-6.46708291047771e-05,-1.1223862902482e-05
"1348","MNG-04","241",32,"2015","6","3",0.000840756855774752,"2013",0.00074693202406242,30.5,-5.1037352570792e-05,-6.17551966106583e-05,-1.07178440398663e-05
"1349","MNG-04","242",31,"2015","6","3",0.000777474999231489,"2013",0.000717113704633906,30,-3.28343852878059e-05,-3.97296061982452e-05,-6.89522091043925e-06
"1350","MNG-04","243",31,"2015","6","3",0.000777474999231489,"2013",0.000777474999231489,31,0,0,0
"1351","MNG-04","244",37,"2015","6","3",0.00120246946004665,"2013",0.00112394753568267,36,-4.27131183201946e-05,-5.16828731674355e-05,-8.96975484724087e-06
"1352","MNG-04","530",20,"2015","6","3",0.000263982961143701,NA,NA,NA,NA,NA,NA
"1353","MNG-04","245",22,"2015","6","3",0.000333884645345585,"2013",0.000392824192056075,23.5,3.20610052896113e-05,3.87938164004297e-05,6.73281111081837e-06
"1354","MNG-04","246",35.5,"2015","6","3",0.00108586313117979,"2013",0.00101202208351792,34.5,-4.01668888175558e-05,-4.86019354692425e-05,-8.43504665168671e-06
"1355","MNG-04","247",43,"2015","6","3",0.00174155409297328,"2013",0.00169206663411971,42.5,-2.69194075731033e-05,-3.2572483163455e-05,-5.65307559035169e-06
"1356","MNG-04","248",22,"2015","6","3",0.000333884645345585,"2013",0.000352899886098779,22.5,1.03436108419016e-05,1.25157691187009e-05,2.17215827679933e-06
"1357","MNG-04","249",25,"2015","6","3",0.000457540987499398,"2013",0.000413746100126684,24,-2.38228522966327e-05,-2.88256512789255e-05,-5.00279898229286e-06
"1358","MNG-04","250",39.5,"2015","6","3",0.00141273312176749,"2013",0.00141273312176749,39.5,0,0,0
"1359","MNG-04","251",46,"2015","6","3",0.00205648948631206,"2013",0.00205648948631206,46,0,0,0
"1360","MNG-04","252",25.5,"2015","6","3",0.000480426382445892,"2013",0.000457540987499398,25,-1.24488362972731e-05,-1.50630919197005e-05,-2.61425562242736e-06
"1361","MNG-04","253",57,"2015","6","3",0.00348844614413329,"2013",0.00348844614413329,57,0,0,0
"1362","MNG-04","254",44.5,"2015","6","3",0.00189513514171948,"2013",0.00211202258866866,46.5,0.000117979013616168,0.000142754606475563,2.47755928593952e-05
