plot_code,year,month,day,ingrowth_core_num,is_stock,ingrowth_core_litterfall_g,soil_humidity_pcnt,soil_temperature_c,ol_layer_depth_cm,ml_layer_depth_cm,time_step,time_step_minutes,ol_under_2mm_g,ol_above_2mm_g,ml_under_2mm_g,ml_above_2mm_g,ol_2to3_mm_g,ml_2to3_mm_g,ol_3to4_mm_g,ml_3to4_mm_g,ol_4to5_mm_g,ml_4to5_mm_g,ol_above_5mm_g,ml_above_5mm_g,total_g,quality_code,comments,id
ABC-01,2013,2,16,15,Y,NA,NA,NA,20,10,NA,10,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.94,NA,,ABC-01_2013_2_16_15_Y
ABC-01,2013,2,16,15,Y,NA,NA,NA,20,10,NA,10,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42,NA,,ABC-01_2013_2_16_15_Y
ABC-01,2013,2,16,15,Y,NA,NA,NA,20,10,NA,10,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51,NA,,ABC-01_2013_2_16_15_Y
ABC-01,2013,2,16,16,Y,NA,NA,NA,20,10,NA,10,1.92,NA,0.23,NA,0.58,NA,NA,NA,NA,NA,NA,NA,2.73,NA,,ABC-01_2013_2_16_16_Y
ABC-01,2013,2,16,16,Y,NA,NA,NA,20,10,NA,10,1.6,NA,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.04,NA,,ABC-01_2013_2_16_16_Y
ABC-01,2013,2,16,16,Y,NA,NA,NA,20,10,NA,10,1.36,NA,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.65,NA,,ABC-01_2013_2_16_16_Y
ABC-01,2013,2,16,16,Y,NA,NA,NA,20,10,NA,10,0.81,NA,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98,NA,,ABC-01_2013_2_16_16_Y
ABC-01,2013,2,16,2,Y,NA,NA,NA,20,10,NA,10,2.48,NA,0.09,NA,0.22,NA,NA,NA,NA,NA,NA,NA,2.79,NA,,ABC-01_2013_2_16_2_Y
ABC-01,2013,2,16,2,Y,NA,NA,NA,20,10,NA,10,0.48,NA,0.05,NA,0.02,NA,NA,NA,NA,NA,NA,NA,0.55,NA,,ABC-01_2013_2_16_2_Y
ABC-01,2013,2,16,2,Y,NA,NA,NA,20,10,NA,10,0.16,NA,0.02,NA,0.02,NA,NA,NA,NA,NA,NA,NA,0.2,NA,,ABC-01_2013_2_16_2_Y
ABC-01,2013,2,16,2,Y,NA,NA,NA,20,10,NA,10,0.22,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26,NA,,ABC-01_2013_2_16_2_Y
ABC-01,2013,2,16,3,Y,NA,NA,NA,30,NA,NA,10,2.44,NA,NA,NA,3.36,NA,NA,NA,NA,NA,NA,NA,5.8,NA,,ABC-01_2013_2_16_3_Y
ABC-01,2013,2,16,3,Y,NA,NA,NA,30,NA,NA,10,1.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63,NA,,ABC-01_2013_2_16_3_Y
ABC-01,2013,2,16,3,Y,NA,NA,NA,30,NA,NA,10,1.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11,NA,,ABC-01_2013_2_16_3_Y
ABC-01,2013,2,16,3,Y,NA,NA,NA,30,NA,NA,10,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,NA,,ABC-01_2013_2_16_3_Y
ABC-01,2013,2,16,4,Y,NA,NA,NA,20,10,NA,10,2.1,NA,0.18,NA,0.85,NA,NA,NA,NA,NA,NA,NA,3.13,NA,,ABC-01_2013_2_16_4_Y
ABC-01,2013,2,16,4,Y,NA,NA,NA,20,10,NA,10,0.43,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,NA,,ABC-01_2013_2_16_4_Y
ABC-01,2013,2,16,4,Y,NA,NA,NA,20,10,NA,10,0.26,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28,NA,,ABC-01_2013_2_16_4_Y
ABC-01,2013,2,16,4,Y,NA,NA,NA,20,10,NA,10,0.15,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,NA,,ABC-01_2013_2_16_4_Y
ABC-01,2013,2,16,5,Y,NA,NA,NA,30,NA,NA,10,1.85,NA,NA,NA,0.39,NA,NA,NA,NA,NA,NA,NA,2.24,NA,,ABC-01_2013_2_16_5_Y
ABC-01,2013,2,16,5,Y,NA,NA,NA,30,NA,NA,10,1.04,NA,NA,NA,0.14,NA,NA,NA,NA,NA,NA,NA,1.18,NA,,ABC-01_2013_2_16_5_Y
ABC-01,2013,2,16,5,Y,NA,NA,NA,30,NA,NA,10,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54,NA,,ABC-01_2013_2_16_5_Y
ABC-01,2013,2,16,5,Y,NA,NA,NA,30,NA,NA,10,0.6,NA,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA,0.75,NA,,ABC-01_2013_2_16_5_Y
ABC-01,2013,2,16,6,Y,NA,NA,NA,20,10,NA,10,3.04,NA,0.4,NA,1.9,0.26,NA,NA,NA,NA,NA,NA,5.6,NA,,ABC-01_2013_2_16_6_Y
ABC-01,2013,2,16,6,Y,NA,NA,NA,20,10,NA,10,0.99,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05,NA,,ABC-01_2013_2_16_6_Y
ABC-01,2013,2,16,6,Y,NA,NA,NA,20,10,NA,10,0.29,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,,ABC-01_2013_2_16_6_Y
ABC-01,2013,2,16,6,Y,NA,NA,NA,20,10,NA,10,0.38,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39,NA,,ABC-01_2013_2_16_6_Y
ABC-01,2013,2,16,7,Y,NA,NA,NA,20,10,NA,10,1.96,NA,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.18,NA,,ABC-01_2013_2_16_7_Y
ABC-01,2013,2,16,7,Y,NA,NA,NA,20,10,NA,10,0.64,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,,ABC-01_2013_2_16_7_Y
ABC-01,2013,2,16,7,Y,NA,NA,NA,20,10,NA,10,0.32,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36,NA,,ABC-01_2013_2_16_7_Y
ABC-01,2013,2,16,7,Y,NA,NA,NA,20,10,NA,10,0.13,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,NA,,ABC-01_2013_2_16_7_Y
ABC-01,2013,2,16,8,Y,NA,NA,NA,20,10,NA,10,7.62,NA,0.48,NA,0.29,0.29,NA,NA,NA,NA,NA,NA,8.68,NA,,ABC-01_2013_2_16_8_Y
ABC-01,2013,2,16,8,Y,NA,NA,NA,20,10,NA,10,0.87,NA,0.39,NA,0.46,0.46,NA,NA,NA,NA,NA,NA,2.18,NA,,ABC-01_2013_2_16_8_Y
ABC-01,2013,2,16,8,Y,NA,NA,NA,20,10,NA,10,0.52,NA,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69,NA,,ABC-01_2013_2_16_8_Y
ABC-01,2013,2,16,8,Y,NA,NA,NA,20,10,NA,10,0.33,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38,NA,,ABC-01_2013_2_16_8_Y
ABC-01,2013,2,16,9,Y,NA,NA,NA,30,NA,NA,10,5.47,NA,NA,NA,1.6,NA,NA,NA,NA,NA,NA,NA,7.07,NA,,ABC-01_2013_2_16_9_Y
ABC-01,2013,2,16,9,Y,NA,NA,NA,30,NA,NA,10,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.22,NA,,ABC-01_2013_2_16_9_Y
ABC-01,2013,2,16,9,Y,NA,NA,NA,30,NA,NA,10,0.61,NA,NA,NA,0.08,NA,NA,NA,NA,NA,NA,NA,0.69,NA,,ABC-01_2013_2_16_9_Y
