plot_code,year,month,day,ingrowth_core_num,is_stock,ingrowth_core_litterfall_g,soil_humidity_pcnt,soil_temperature_c,ol_layer_depth_cm,ml_layer_depth_cm,time_step,time_step_minutes,ol_under_2mm_g,ol_above_2mm_g,ml_under_2mm_g,ml_above_2mm_g,ol_2to3_mm_g,ml_2to3_mm_g,ol_3to4_mm_g,ml_3to4_mm_g,ol_4to5_mm_g,ml_4to5_mm_g,ol_above_5mm_g,ml_above_5mm_g,total_g,quality_code,comments,id
ABC-01,2013,12,10,8,N,NA,NA,NA,20,10,2,10,0.026,NA,0.108,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.134,NA,NA,ABC-01_2013_12_10_8_N
ABC-01,2013,12,10,8,N,NA,NA,NA,20,10,3,10,0.024,NA,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.028,NA,NA,ABC-01_2013_12_10_8_N
ABC-01,2013,12,10,8,N,NA,NA,NA,20,10,4,10,0.012,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013,NA,NA,ABC-01_2013_12_10_8_N
ABC-01,2013,12,10,9,N,2.66,34.8,8.1,30,NA,1,10,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,NA,NA,ABC-01_2013_12_10_9_N
ABC-01,2013,12,10,9,N,NA,NA,NA,30,NA,2,10,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,ABC-01_2013_12_10_9_N
ABC-01,2013,12,10,9,N,NA,NA,NA,30,NA,3,10,0.054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.054,NA,NA,ABC-01_2013_12_10_9_N
ABC-01,2013,12,10,9,N,NA,NA,NA,30,NA,4,10,0.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012,NA,NA,ABC-01_2013_12_10_9_N
ABC-01,2013,6,20,1,N,10.84,40.8,7.9,30,NA,1,10,0.0652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0652,NA,NA,ABC-01_2013_6_20_1_N
ABC-01,2013,6,20,1,N,NA,NA,NA,30,NA,2,10,0.188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.188,NA,NA,ABC-01_2013_6_20_1_N
ABC-01,2013,6,20,1,N,NA,NA,NA,30,NA,3,10,0.166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166,NA,NA,ABC-01_2013_6_20_1_N
ABC-01,2013,6,20,1,N,NA,NA,NA,30,NA,4,10,0.138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.138,NA,NA,ABC-01_2013_6_20_1_N
ABC-01,2013,6,20,10,N,8.89,38.3,7.3,25,5,1,10,0.316,NA,0.066,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.382,NA,NA,ABC-01_2013_6_20_10_N
ABC-01,2013,6,20,10,N,NA,NA,NA,25,5,2,10,0.088,NA,0.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.122,NA,NA,ABC-01_2013_6_20_10_N
ABC-01,2013,6,20,10,N,NA,NA,NA,25,5,3,10,0.112,NA,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,NA,NA,ABC-01_2013_6_20_10_N
ABC-01,2013,6,20,10,N,NA,NA,NA,25,5,4,10,0.086,NA,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.108,NA,NA,ABC-01_2013_6_20_10_N
ABC-01,2013,6,20,11,N,10.94,21.8,7.5,20,10,1,10,0.358,NA,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38,NA,NA,ABC-01_2013_6_20_11_N
ABC-01,2013,6,20,11,N,NA,NA,NA,20,10,2,10,0.07,NA,0.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.078,NA,NA,ABC-01_2013_6_20_11_N
ABC-01,2013,6,20,11,N,NA,NA,NA,20,10,3,10,0.066,NA,0.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.074,NA,NA,ABC-01_2013_6_20_11_N
ABC-01,2013,6,20,11,N,NA,NA,NA,20,10,4,10,0.042,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.043,NA,NA,ABC-01_2013_6_20_11_N
ABC-01,2013,6,20,12,N,11.72,21.3,8.1,10,20,1,10,0.282,NA,0.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.296,NA,NA,ABC-01_2013_6_20_12_N
ABC-01,2013,6,20,12,N,NA,NA,NA,10,20,2,10,0.152,NA,0.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.178,NA,NA,ABC-01_2013_6_20_12_N
ABC-01,2013,6,20,12,N,NA,NA,NA,10,20,3,10,0.066,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.076,NA,NA,ABC-01_2013_6_20_12_N
ABC-01,2013,6,20,12,N,NA,NA,NA,10,20,4,10,0.064,NA,0.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,NA,NA,ABC-01_2013_6_20_12_N
ABC-01,2013,6,20,13,N,3.71,26.9,7.8,20,10,1,10,0.026,NA,0.058,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.084,NA,NA,ABC-01_2013_6_20_13_N
ABC-01,2013,6,20,13,N,NA,NA,NA,20,10,2,10,0.02,NA,0.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.056,NA,NA,ABC-01_2013_6_20_13_N
ABC-01,2013,6,20,13,N,NA,NA,NA,20,10,3,10,0.034,NA,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.056,NA,NA,ABC-01_2013_6_20_13_N
ABC-01,2013,6,20,13,N,NA,NA,NA,20,10,4,10,0.024,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.044,NA,NA,ABC-01_2013_6_20_13_N
ABC-01,2013,6,20,14,N,6.14,48.9,7.3,20,10,1,10,0.038,NA,0.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.074,NA,NA,ABC-01_2013_6_20_14_N
ABC-01,2013,6,20,14,N,NA,NA,NA,20,10,2,10,0.022,NA,0.046,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.068,NA,NA,ABC-01_2013_6_20_14_N
ABC-01,2013,6,20,14,N,NA,NA,NA,20,10,3,10,0.006,NA,0.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022,NA,NA,ABC-01_2013_6_20_14_N
ABC-01,2013,6,20,14,N,NA,NA,NA,20,10,4,10,0.018,NA,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022,NA,NA,ABC-01_2013_6_20_14_N
ABC-01,2013,6,20,15,N,8.03,39.2,7.8,20,10,1,10,0.428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.428,NA,NA,ABC-01_2013_6_20_15_N
ABC-01,2013,6,20,15,N,NA,NA,NA,20,10,2,10,0.146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.146,NA,NA,ABC-01_2013_6_20_15_N
ABC-01,2013,6,20,15,N,NA,NA,NA,20,10,3,10,0.198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.198,NA,NA,ABC-01_2013_6_20_15_N
ABC-01,2013,6,20,15,N,NA,NA,NA,20,10,4,10,0.078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.078,NA,NA,ABC-01_2013_6_20_15_N
ABC-01,2013,6,20,16,N,7.31,43.9,8.3,20,10,1,10,0.224,NA,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.304,NA,NA,ABC-01_2013_6_20_16_N
ABC-01,2013,6,20,16,N,NA,NA,NA,20,10,2,10,0.05,NA,0.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.082,NA,NA,ABC-01_2013_6_20_16_N
ABC-01,2013,6,20,16,N,NA,NA,NA,20,10,3,10,0.06,NA,0.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.094,NA,NA,ABC-01_2013_6_20_16_N
ABC-01,2013,6,20,16,N,NA,NA,NA,20,10,4,10,0.088,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.089,NA,NA,ABC-01_2013_6_20_16_N
ABC-01,2013,6,20,2,N,6.84,27.5,7.8,20,10,1,10,0.036,NA,0.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.052,NA,NA,ABC-01_2013_6_20_2_N
ABC-01,2013,6,20,2,N,NA,NA,NA,20,10,2,10,0.012,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022,NA,NA,ABC-01_2013_6_20_2_N
ABC-01,2013,6,20,2,N,NA,NA,NA,20,10,3,10,0.016,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017,NA,NA,ABC-01_2013_6_20_2_N
ABC-01,2013,6,20,2,N,NA,NA,NA,20,10,4,10,0.012,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013,NA,NA,ABC-01_2013_6_20_2_N
ABC-01,2013,6,20,3,N,8.43,39.1,7.4,30,NA,1,10,0.222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.222,NA,NA,ABC-01_2013_6_20_3_N
ABC-01,2013,6,20,3,N,NA,NA,NA,30,NA,2,10,0.192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.192,NA,NA,ABC-01_2013_6_20_3_N
ABC-01,2013,6,20,3,N,NA,NA,NA,30,NA,3,10,0.212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.212,NA,NA,ABC-01_2013_6_20_3_N
ABC-01,2013,6,20,3,N,NA,NA,NA,30,NA,4,10,0.114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114,NA,NA,ABC-01_2013_6_20_3_N
ABC-01,2013,6,20,4,N,7.85,52.1,7.5,20,10,1,10,0.2,NA,0.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.206,NA,NA,ABC-01_2013_6_20_4_N
ABC-01,2013,6,20,4,N,NA,NA,NA,20,10,2,10,0.024,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025,NA,NA,ABC-01_2013_6_20_4_N
ABC-01,2013,6,20,4,N,NA,NA,NA,20,10,3,10,0.016,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017,NA,NA,ABC-01_2013_6_20_4_N
ABC-01,2013,6,20,4,N,NA,NA,NA,20,10,4,10,0.015,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016,NA,NA,ABC-01_2013_6_20_4_N
ABC-01,2013,6,20,5,N,7.62,18.8,7.8,30,NA,1,10,0.28,NA,NA,NA,0.106,NA,NA,NA,NA,NA,NA,NA,0.386,NA,NA,ABC-01_2013_6_20_5_N
ABC-01,2013,6,20,5,N,NA,NA,NA,30,NA,2,10,0.292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.292,NA,NA,ABC-01_2013_6_20_5_N
ABC-01,2013,6,20,5,N,NA,NA,NA,30,NA,3,10,0.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.076,NA,NA,ABC-01_2013_6_20_5_N
ABC-01,2013,6,20,5,N,NA,NA,NA,30,NA,4,10,0.124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.124,NA,NA,ABC-01_2013_6_20_5_N
ABC-01,2013,6,20,6,N,6.3,44.4,7.2,20,10,1,10,0.404,NA,0.046,NA,0.108,NA,NA,NA,NA,NA,NA,NA,0.558,NA,NA,ABC-01_2013_6_20_6_N
ABC-01,2013,6,20,6,N,NA,NA,NA,20,10,2,10,0.08,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,NA,NA,ABC-01_2013_6_20_6_N
ABC-01,2013,6,20,6,N,NA,NA,NA,20,10,3,10,0.064,NA,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.082,NA,NA,ABC-01_2013_6_20_6_N
ABC-01,2013,6,20,6,N,NA,NA,NA,20,10,4,10,0.044,NA,0.017,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.061,NA,NA,ABC-01_2013_6_20_6_N
ABC-01,2013,6,20,7,N,7.91,43.6,8.2,20,10,1,10,0.04,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.041,NA,NA,ABC-01_2013_6_20_7_N
ABC-01,2013,6,20,7,N,NA,NA,NA,20,10,2,10,0.01,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011,NA,NA,ABC-01_2013_6_20_7_N
ABC-01,2013,6,20,7,N,NA,NA,NA,20,10,3,10,0.018,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.019,NA,NA,ABC-01_2013_6_20_7_N
ABC-01,2013,6,20,7,N,NA,NA,NA,20,10,4,10,0.006,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007,NA,NA,ABC-01_2013_6_20_7_N
ABC-01,2013,6,20,8,N,2.68,20.8,8.1,20,10,1,10,0.07,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,NA,NA,ABC-01_2013_6_20_8_N
ABC-01,2013,6,20,8,N,NA,NA,NA,20,10,2,10,0.098,NA,0.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.142,NA,NA,ABC-01_2013_6_20_8_N
ABC-01,2013,6,20,8,N,NA,NA,NA,20,10,3,10,0.092,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.162,NA,NA,ABC-01_2013_6_20_8_N
ABC-01,2013,6,20,8,N,NA,NA,NA,20,10,4,10,0.076,NA,0.056,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.132,NA,NA,ABC-01_2013_6_20_8_N
ABC-01,2013,6,20,9,N,7.39,39.4,8.2,30,NA,1,10,0.386,NA,NA,NA,0.138,NA,NA,NA,NA,NA,NA,NA,0.524,NA,NA,ABC-01_2013_6_20_9_N
ABC-01,2013,6,20,9,N,NA,NA,NA,30,NA,2,10,0.184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.184,NA,NA,ABC-01_2013_6_20_9_N
ABC-01,2013,6,20,9,N,NA,NA,NA,30,NA,3,10,0.104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.104,NA,NA,ABC-01_2013_6_20_9_N
ABC-01,2013,6,20,9,N,NA,NA,NA,30,NA,4,10,0.084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.084,NA,NA,ABC-01_2013_6_20_9_N
ABC-01,2013,9,25,1,N,2.58,41.1,8.2,30,NA,1,10,0.072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.072,NA,NA,ABC-01_2013_9_25_1_N
ABC-01,2013,9,25,1,N,NA,NA,NA,30,NA,2,10,0.056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.056,NA,NA,ABC-01_2013_9_25_1_N
ABC-01,2013,9,25,1,N,NA,NA,NA,30,NA,3,10,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,NA,NA,ABC-01_2013_9_25_1_N
ABC-01,2013,9,25,1,N,3.36,NA,NA,30,NA,4,10,0.042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.042,NA,NA,ABC-01_2013_9_25_1_N
ABC-01,2013,9,25,10,N,1.39,38.9,8.1,25,5,1,10,0.072,NA,0.054,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.126,NA,NA,ABC-01_2013_9_25_10_N
ABC-01,2013,9,25,10,N,NA,NA,NA,25,5,2,10,0.042,NA,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,NA,NA,ABC-01_2013_9_25_10_N
ABC-01,2013,9,25,10,N,NA,NA,NA,25,5,3,10,0.026,NA,0.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,NA,ABC-01_2013_9_25_10_N
ABC-01,2013,9,25,10,N,NA,NA,NA,25,5,4,10,0.05,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,ABC-01_2013_9_25_10_N
ABC-01,2013,9,25,11,N,6.97,37.5,8.2,20,10,1,10,1.02,NA,0.528,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.548,NA,NA,ABC-01_2013_9_25_11_N
ABC-01,2013,9,25,11,N,NA,NA,NA,20,10,2,10,0.218,NA,0.126,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.344,NA,NA,ABC-01_2013_9_25_11_N
ABC-01,2013,9,25,11,N,NA,NA,NA,20,10,3,10,0.054,NA,0.108,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.162,NA,NA,ABC-01_2013_9_25_11_N
ABC-01,2013,9,25,11,N,NA,NA,NA,20,10,4,10,0.074,NA,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.092,NA,NA,ABC-01_2013_9_25_11_N
ABC-01,2013,9,25,12,N,2.09,38.3,7.9,10,20,1,10,0.242,NA,0.052,NA,0.066,0.104,NA,NA,NA,NA,NA,NA,0.464,NA,NA,ABC-01_2013_9_25_12_N
ABC-01,2013,9,25,12,N,NA,NA,NA,10,20,2,10,0.038,NA,0.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.046,NA,NA,ABC-01_2013_9_25_12_N
ABC-01,2013,9,25,12,N,NA,NA,NA,10,20,3,10,0.042,NA,0.01,NA,NA,0.038,NA,NA,NA,NA,NA,NA,0.09,NA,NA,ABC-01_2013_9_25_12_N
ABC-01,2013,9,25,12,N,NA,NA,NA,10,20,4,10,0.018,NA,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,NA,ABC-01_2013_9_25_12_N
ABC-01,2013,9,25,13,N,2.7,37.5,7.9,20,10,1,10,0.16,NA,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,ABC-01_2013_9_25_13_N
ABC-01,2013,9,25,13,N,NA,NA,NA,20,10,2,10,0.058,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.068,NA,NA,ABC-01_2013_9_25_13_N
ABC-01,2013,9,25,13,N,NA,NA,NA,20,10,3,10,0.014,NA,0.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,NA,ABC-01_2013_9_25_13_N
ABC-01,2013,9,25,13,N,NA,NA,NA,20,10,4,10,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,ABC-01_2013_9_25_13_N
ABC-01,2013,9,25,14,N,2.94,39.2,7.9,20,10,1,10,0.26,NA,0.056,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.316,NA,NA,ABC-01_2013_9_25_14_N
ABC-01,2013,9,25,14,N,NA,NA,NA,20,10,2,10,0.038,NA,0.002,NA,0.024,NA,NA,NA,NA,NA,NA,NA,0.064,NA,NA,ABC-01_2013_9_25_14_N
ABC-01,2013,9,25,14,N,NA,NA,NA,20,10,3,10,0.012,NA,0.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,NA,ABC-01_2013_9_25_14_N
ABC-01,2013,9,25,14,N,NA,NA,NA,20,10,4,10,0.002,NA,0.01,NA,0,NA,NA,NA,NA,NA,NA,NA,0.012,NA,NA,ABC-01_2013_9_25_14_N
ABC-01,2013,9,25,15,N,2.25,30.5,8.5,20,10,1,10,0.084,NA,NA,NA,0.04,NA,NA,NA,NA,NA,NA,NA,0.124,NA,NA,ABC-01_2013_9_25_15_N
ABC-01,2013,9,25,15,N,NA,NA,NA,20,10,2,10,0.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.076,NA,NA,ABC-01_2013_9_25_15_N
ABC-01,2013,9,25,15,N,NA,NA,NA,20,10,3,10,0.062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.062,NA,NA,ABC-01_2013_9_25_15_N
ABC-01,2013,9,25,15,N,NA,NA,NA,20,10,4,10,0.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.034,NA,NA,ABC-01_2013_9_25_15_N
ABC-01,2013,9,25,16,N,3.59,32.1,8.5,20,10,1,10,0.256,NA,0.084,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34,NA,NA,ABC-01_2013_9_25_16_N
ABC-01,2013,9,25,16,N,NA,NA,NA,20,10,2,10,0.084,NA,0.074,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.158,NA,NA,ABC-01_2013_9_25_16_N
ABC-01,2013,9,25,16,N,NA,NA,NA,20,10,3,10,0.102,NA,0.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.146,NA,NA,ABC-01_2013_9_25_16_N
ABC-01,2013,9,25,16,N,NA,NA,NA,20,10,4,10,0.062,NA,0.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.106,NA,NA,ABC-01_2013_9_25_16_N
ABC-01,2013,9,25,2,N,NA,41.2,7.9,20,10,1,10,0.118,NA,0.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.154,NA,NA,ABC-01_2013_9_25_2_N
ABC-01,2013,9,25,2,N,NA,NA,NA,20,10,2,10,0.012,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022,NA,NA,ABC-01_2013_9_25_2_N
ABC-01,2013,9,25,2,N,NA,NA,NA,20,10,3,10,0.016,NA,0.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.024,NA,NA,ABC-01_2013_9_25_2_N
ABC-01,2013,9,25,2,N,NA,NA,NA,20,10,4,10,0.002,NA,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004,NA,NA,ABC-01_2013_9_25_2_N
ABC-01,2013,9,25,3,N,3.36,NA,NA,30,NA,1,10,0.354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.354,NA,NA,ABC-01_2013_9_25_3_N
ABC-01,2013,9,25,3,N,NA,NA,NA,30,NA,2,10,0.164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.164,NA,NA,ABC-01_2013_9_25_3_N
ABC-01,2013,9,25,3,N,NA,NA,NA,30,NA,3,10,0.104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.104,NA,NA,ABC-01_2013_9_25_3_N
ABC-01,2013,9,25,3,N,NA,NA,NA,30,NA,4,10,0.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.076,NA,NA,ABC-01_2013_9_25_3_N
ABC-01,2013,9,25,4,N,3.58,31.8,7.7,20,10,1,10,0.016,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016,NA,NA,ABC-01_2013_9_25_4_N
ABC-01,2013,9,25,4,N,NA,NA,NA,20,10,2,10,0.026,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.026,NA,NA,ABC-01_2013_9_25_4_N
ABC-01,2013,9,25,4,N,NA,NA,NA,20,10,3,10,0.012,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012,NA,NA,ABC-01_2013_9_25_4_N
ABC-01,2013,9,25,4,N,NA,NA,NA,20,10,4,10,0.002,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,NA,NA,ABC-01_2013_9_25_4_N
ABC-01,2013,9,25,5,N,1.96,32.5,7.9,30,NA,1,10,0.296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.296,NA,NA,ABC-01_2013_9_25_5_N
ABC-01,2013,9,25,5,N,NA,NA,NA,30,NA,2,10,0.204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.204,NA,NA,ABC-01_2013_9_25_5_N
ABC-01,2013,9,25,5,N,NA,NA,NA,30,NA,3,10,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,NA,NA,ABC-01_2013_9_25_5_N
ABC-01,2013,9,25,5,N,NA,NA,NA,30,NA,4,10,0.064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.064,NA,NA,ABC-01_2013_9_25_5_N
ABC-01,2013,9,25,6,N,3.66,34.2,7.7,20,10,1,10,0.048,NA,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.066,NA,NA,ABC-01_2013_9_25_6_N
ABC-01,2013,9,25,6,N,NA,NA,NA,20,10,2,10,0.064,NA,0.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.088,NA,NA,ABC-01_2013_9_25_6_N
ABC-01,2013,9,25,6,N,NA,NA,NA,20,10,3,10,0.02,NA,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.042,NA,NA,ABC-01_2013_9_25_6_N
ABC-01,2013,9,25,6,N,NA,NA,NA,20,10,4,10,0.01,NA,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,NA,ABC-01_2013_9_25_6_N
ABC-01,2013,9,25,7,N,4.95,34.5,7.9,20,10,1,10,0.028,NA,0.026,NA,NA,0.102,NA,NA,NA,NA,NA,NA,0.156,NA,NA,ABC-01_2013_9_25_7_N
ABC-01,2013,9,25,7,N,NA,NA,NA,20,10,2,10,0.018,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.038,NA,NA,ABC-01_2013_9_25_7_N
ABC-01,2013,9,25,7,N,NA,NA,NA,20,10,3,10,0.012,NA,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014,NA,NA,ABC-01_2013_9_25_7_N
ABC-01,2013,9,25,7,N,NA,NA,NA,20,10,4,10,0.01,NA,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,NA,ABC-01_2013_9_25_7_N
ABC-01,2013,9,25,8,N,3.48,34.3,7.7,20,10,1,10,0.038,NA,0.034,NA,0.09,0.092,NA,NA,NA,NA,NA,NA,0.254,NA,NA,ABC-01_2013_9_25_8_N
ABC-01,2013,9,25,8,N,NA,NA,NA,20,10,2,10,0.046,NA,0.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.055,NA,NA,ABC-01_2013_9_25_8_N
ABC-01,2013,9,25,8,N,NA,NA,NA,20,10,3,10,0.028,NA,0.042,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,NA,NA,ABC-01_2013_9_25_8_N
ABC-01,2013,9,25,8,N,NA,NA,NA,20,10,4,10,0.024,NA,0.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.048,NA,NA,ABC-01_2013_9_25_8_N
ABC-01,2013,9,25,9,N,4.83,37.8,8.4,30,NA,1,10,0.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.044,NA,NA,ABC-01_2013_9_25_9_N
ABC-01,2013,9,25,9,N,NA,NA,NA,30,NA,2,10,0.102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.102,NA,NA,ABC-01_2013_9_25_9_N
ABC-01,2013,9,25,9,N,NA,NA,NA,30,NA,3,10,0.144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.144,NA,NA,ABC-01_2013_9_25_9_N
ABC-01,2013,9,25,9,N,NA,NA,NA,30,NA,4,10,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,NA,NA,ABC-01_2013_9_25_9_N
ABC-01,2014,3,15,1,N,2.44,51.6,9.1,30,NA,1,10,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022,NA,NA,ABC-01_2014_3_15_1_N
ABC-01,2014,3,15,1,N,NA,NA,NA,30,NA,2,10,0.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014,NA,NA,ABC-01_2014_3_15_1_N
ABC-01,2014,3,15,1,N,NA,NA,NA,30,NA,3,10,0.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014,NA,NA,ABC-01_2014_3_15_1_N
