"","Plot","Mean","SE"
"1","Belian",0.823746987510691,0.104503440143805
"2","BNorth",1.46239074491844,0.293930164814289
"3","BSouth",1.00707235375365,0.123101005078699
"4","E",2.84271973997171,0.674607399569027
"5","LF",2.23076753510304,0.290261967788331
"6","Seraya",0.931528224099223,0.172102998760189
"7","Tower",1.05932615352089,0.0998591922163933
