"","plot_code","year","month","day","is_stock","ingrowth_core_num","DaysBetween","time_step_minutes","core_id","core_sample_id","number_of_timesteps","estimate_of_120","method_of_estimate","date","npp_g_per_day","npp_MgC_ha_year"
"30","ABC-01","2013","9","25","N","16",97,10,"ABC-01_16","ABC-01_16_2013_9_25_N",4,1.05544853307639,"Logarithmic",2013-09-25,0.0108809127121278,1.97527853397688
"31","ABC-01","2013","12","10","N","16",76,10,"ABC-01_16","ABC-01_16_2013_12_10_N",4,0.189248775510229,"Logarithmic",2013-12-10,0.00249011546723985,0.452045867814045
"32","ABC-01","2014","3","15","N","16",95,10,"ABC-01_16","ABC-01_16_2014_3_15_N",4,0.203477775018529,"Logarithmic",2014-03-15,0.00214187131598451,0.388826980322102
"33","ABC-01","2013","6","20","N","2",124,10,"ABC-01_2","ABC-01_2_2013_6_20_N",4,0.143241584771757,"Logarithmic",2013-06-20,0.00115517407073998,0.209705803668115
"34","ABC-01","2013","9","25","N","2",97,10,"ABC-01_2","ABC-01_2_2013_9_25_N",4,0.248149060360059,"Logarithmic",2013-09-25,0.00255823773567071,0.464412519222554
"35","ABC-01","2013","12","10","N","2",76,10,"ABC-01_2","ABC-01_2_2013_12_10_N",4,0.0724874491043828,"Logarithmic",2013-12-10,0.000953782225057668,0.173145912028615
"36","ABC-01","2014","3","15","N","2",95,10,"ABC-01_2","ABC-01_2_2014_3_15_N",4,1.0301162989099,"Logarithmic",2014-03-15,0.0108433294622095,1.96845581709964
"37","ABC-01","2013","6","20","N","3",124,10,"ABC-01_3","ABC-01_3_2013_6_20_N",4,1.14147257051814,"Logarithmic",2013-06-20,0.00920542395579142,1.6711168278893
"38","ABC-01","2013","9","25","N","3",97,10,"ABC-01_3","ABC-01_3_2013_9_25_N",4,0.96653709861092,"Logarithmic",2013-09-25,0.00996429998567959,1.80888022802364
"39","ABC-01","2013","12","10","N","3",76,10,"ABC-01_3","ABC-01_3_2013_12_10_N",4,0.207537438886804,"Logarithmic",2013-12-10,0.00273075577482636,0.495730772431967
"40","ABC-01","2014","3","15","N","3",95,10,"ABC-01_3","ABC-01_3_2014_3_15_N",4,0.221327384423174,"Logarithmic",2014-03-15,0.00232976194129657,0.42293591297632
"41","ABC-01","2013","6","20","N","4",124,10,"ABC-01_4","ABC-01_4_2013_6_20_N",4,0.3067257195715,"Logarithmic",2013-06-20,0.00247359451267338,0.449046718038716
"42","ABC-01","2013","9","25","N","4",97,10,"ABC-01_4","ABC-01_4_2013_9_25_N",4,0.0829262205405855,"Logarithmic",2013-09-25,0.000854909490109129,0.155196940641155
"43","ABC-01","2013","12","10","N","4",76,10,"ABC-01_4","ABC-01_4_2013_12_10_N",4,0.0429323788633335,"Logarithmic",2013-12-10,0.000564899721885966,0.102549696336334
"44","ABC-01","2014","3","15","N","4",95,10,"ABC-01_4","ABC-01_4_2014_3_15_N",4,0.101629882326293,"Logarithmic",2014-03-15,0.00106978823501361,0.194205191460466
"45","ABC-01","2013","6","20","N","5",124,10,"ABC-01_5","ABC-01_5_2013_6_20_N",4,1.29102992117697,"Logarithmic",2013-06-20,0.0104115316223949,1.89006891826417
"46","ABC-01","2013","9","25","N","5",97,10,"ABC-01_5","ABC-01_5_2013_9_25_N",4,1.0422982449513,"Logarithmic",2013-09-25,0.0107453427314567,1.95066768746463
"47","ABC-01","2013","12","10","N","5",76,10,"ABC-01_5","ABC-01_5_2013_12_10_N",4,0.328857066028921,"Logarithmic",2013-12-10,0.00432706665827527,0.785518835717854
"48","ABC-01","2014","3","15","N","5",95,10,"ABC-01_5","ABC-01_5_2014_3_15_N",4,0.585309004449958,"Logarithmic",2014-03-15,0.00616114741526271,1.11847071619929
"49","ABC-01","2013","6","20","N","6",124,10,"ABC-01_6","ABC-01_6_2013_6_20_N",4,0.964052416860778,"Logarithmic",2013-06-20,0.00777461626500627,1.41137356988973
"50","ABC-01","2013","9","25","N","6",97,10,"ABC-01_6","ABC-01_6_2013_9_25_N",4,0.345826465771314,"Logarithmic",2013-09-25,0.00356522129661149,0.647216394652682
"51","ABC-01","2013","12","10","N","6",76,10,"ABC-01_6","ABC-01_6_2013_12_10_N",4,0.0410035968403671,"Logarithmic",2013-12-10,0.000539521011057462,0.0979425439727571
"52","ABC-01","2014","3","15","N","6",95,10,"ABC-01_6","ABC-01_6_2014_3_15_N",4,0.0331162989098992,"Logarithmic",2014-03-15,0.000348592620104202,0.0632821471701648
"53","ABC-01","2013","6","20","N","7",124,10,"ABC-01_7","ABC-01_7_2013_6_20_N",4,0.107858881834593,"Logarithmic",2013-06-20,0.000869829692214462,0.157905496046476
"54","ABC-01","2013","9","25","N","7",97,10,"ABC-01_7","ABC-01_7_2013_9_25_N",4,0.324043549028999,"Logarithmic",2013-09-25,0.00334065514462885,0.606449529665826
"55","ABC-01","2013","12","10","N","7",76,10,"ABC-01_7","ABC-01_7_2013_12_10_N",4,0.0568778268792638,"Logarithmic",2013-12-10,0.000748392458937682,0.135860253476907
"56","ABC-01","2014","3","15","N","7",95,10,"ABC-01_7","ABC-01_7_2014_3_15_N",4,0.0569472458056011,"Logarithmic",2014-03-15,0.000599444692690538,0.108820855851387
"57","ABC-01","2013","6","20","N","8",124,10,"ABC-01_8","ABC-01_8_2013_6_20_N",4,0.835491148677879,"Logarithmic",2013-06-20,0.00673783184417644,1.22315976237116
"58","ABC-01","2013","9","25","N","8",97,10,"ABC-01_8","ABC-01_8_2013_9_25_N",4,0.553820588618215,"Logarithmic",2013-09-25,0.00570949060431149,1.03647869705535
"59","ABC-01","2013","12","10","N","8",76,10,"ABC-01_8","ABC-01_8_2013_12_10_N",4,0.526843796573831,"Logarithmic",2013-12-10,0.00693215521807672,1.25843647116117
"60","ABC-01","2014","3","15","N","8",95,10,"ABC-01_8","ABC-01_8_2014_3_15_N",4,0.0549341779140299,"Logarithmic",2014-03-15,0.000578254504358209,0.104974071555698
"61","ABC-01","2013","6","20","N","9",124,10,"ABC-01_9","ABC-01_9_2013_6_20_N",4,1.18569288226013,"Logarithmic",2013-06-20,0.00956203937306555,1.73585540242465
"62","ABC-01","2013","9","25","N","9",97,10,"ABC-01_9","ABC-01_9_2013_9_25_N",4,0.531220904893622,"Logarithmic",2013-09-25,0.00547650417416105,0.994183247550351
"63","ABC-01","2013","12","10","N","9",76,10,"ABC-01_9","ABC-01_9_2013_12_10_N",4,0.336301714618223,"Logarithmic",2013-12-10,0.00442502256076609,0.803301368910201
"64","ABC-01","2014","3","15","N","9",95,10,"ABC-01_9","ABC-01_9_2014_3_15_N",4,0.0592003008766986,"Logarithmic",2014-03-15,0.000623161061859985,0.113126233181734
