"SITE","R_leaf","R_leaf_se","Lai","r_shade_mean","r_sun_mean","R_stem","R_stem_se","R_soil","R_soil_se","NPP_canopy","NPP_leaf","NPP_twigs","NPP_flower","NPP_fruit","NPP_unidentified","NPP_seed","NPP_herbivory","NPP_branch_turnover","NPPacw_10cm_big_stem","NPPacw_small_stem","NPP_all_stem","NPP_coarseroot","NPP_fineroot","NPP_herbs","NPP_AG","NPP_BG","NPP","NPP_canopy_se","NPP_leaf_se","NPP_twigs_se","NPP_flower_se","NPP_fruit_se","NPP_unidentified_se","NPP_seed_se","NPP_herbivory_se","NPP_branch_turnover_se","NPPacw_10cm_big_stem_se","NPPacw_small_stem_se","NPP_all_stem_se","NPP_coarseroot_se","NPP_fineroot_se","NPP_herbs_se","NPP_AG_se","NPP_BG_se","NPP_se","vwc_percent_mean","Autotrophic_Respiration.mean","Autotrophic_Respiration.n","Autotrophic_Respiration.mean_se","R_fine_root","R_fine_root_se","R_soil_heterotrophic","R_soil_heterotrophic_se","R_coarse_root","R_coarse_root_se","R_autotrophic","R_autotrophic_se","GPP","GPP_se","D_litter_fall","D_litter_fall_se","CUE","CUE_se","D_CWD","D_CWD_se","R_root","R_root_se","D_root","D_root_se","Sink","Sink_se"
"ANK",16.0931591047691,1.69441651316922,4.63125,-1.21701366695352,-1.71586745437346,8.02228863628992,0.854049793455687,14.3871084720112,0.430466013025696,4.41666666666667,2.83666666666667,0.67,0.163333333333333,0.176666666666667,0.55,0.0133333333333333,0.42,1.80666666666667,1.19333333333333,0.236666666666667,1.43,0.676666666666667,4.22,0,8.07666666666667,4.9,12.97,0.39,0.236666666666667,0.17,0.11,0.0533333333333333,0.133333333333333,0.00666666666666667,0.04,0.27,0.123333333333333,0.0233333333333333,0.123333333333333,0.0666666666666667,0.633333333333333,0,0.496666666666667,0.633333333333333,0.81,8.12142706293727,0.265089356244842,24,0.0361578169038917,3.81409573534489,0.5357688351563,10.5730127366663,0.613005368730626,1.68468061362088,0.179350456625694,29.6142240900248,1.98245897636623,42.5842240900248,2.14284538852967,4.41666666666667,0.39,0.304417140640351,0.0244374951775658,3.23666666666667,0.296942378391239,5.49877634896578,0.565690952917724,4.89666666666667,0.636869553462391,2.39698726333373,1.01585839825491
"BOB",18.3701811870353,1.89641087812702,4.51818055555556,-1.51435155862984,-1.82984331745401,7.50149700632064,0.778423456776108,13.9791236258574,0.276581073316852,8.01166666666667,5.23333333333333,1.66166666666667,0.443333333333333,0.13,0.166666666666667,0.371666666666667,0.761666666666667,0.416666666666667,2.085,0.415,2.5,0.611666666666667,3.51333333333333,0,11.6916666666667,4.12666666666667,15.8183333333333,0.731666666666667,0.456666666666667,0.66,0.258333333333333,0.0833333333333333,0.095,0.24,0.075,0.065,0.21,0.0416666666666667,0.213333333333333,0.06,0.526666666666667,0,0.773333333333333,0.531666666666667,0.948333333333333,8.64933910601892,0.19754088329786,24.5,0.031497871833264,2.76762624283185,0.44223955696412,11.2114973830255,0.494576152201246,1.57531437132733,0.163468925922983,30.2146188075151,2.10741410971091,46.0329521408484,2.31473192675797,8.01166666666667,0.731666666666667,0.342680437924339,0.0268352054110473,2.91666666666667,0.223846479618928,4.34294061415918,0.472683988861884,4.125,0.530229457867458,4.60683595030779,1.07361767070201
"KOG",12.7859135799967,1.3379740071268,2.54283333333333,-1.77522707122959,-2.25083607050087,7.21795788419451,0.739188633328683,9.47937520379022,0.362256039416673,2.732,2.018,0.41,0.138,0.03,0.016,0.118,0.26,0.338,2.32,0.466,2.786,0.876,3.174,1.054,6.314,4.048,11.212,0.6,0.578,0.12,0.048,0.014,0.01,0.048,0.026,0.052,0.232,0.048,0.238,0.088,0.476,0.156,0.656,0.486,0.824,2.74147036373491,0.224103326716695,17.2,0.0406318455066166,2.13687990788092,0.404373728270843,7.34249529590931,0.519830214430562,1.51577115568085,0.155229612999023,23.656522527753,1.59983515353245,34.868522527753,1.80325235593577,2.732,0.6,0.321079902938747,0.0288331433266848,3.124,0.244302799190141,3.65265106356176,0.438149295817946,4.05,0.486273116941183,3.86950470409069,0.981514751783316
