"","plot_code","tree_tag","dbh","year1","month","day","agC_year1","year2","agC_year2","npp_per_tree_MgC_year"
"1","KOG_04","201",267,"2012","12","3",0.13599669408581,"2013",0.139952518678888,0.00464268802724647
"2","KOG_04","202",353,"2012","12","3",0.22005826778677,"2013",0.22333037247872,0.00384025148733733
"3","KOG_04","203",118,"2012","12","3",0.0091697395288431,"2013",0.0091697395288431,0
"4","KOG_04","204",341,"2012","12","3",0.200061415176752,"2013",0.205998054003225,0.00696743785100538
"5","KOG_04","205",153,"2012","12","3",0.0375338999897267,"2013",0.0395322670046045,0.0023453503550817
"6","KOG_04","206",470,"2012","12","3",0.509845892406656,"2013",0.52096050105696,0.013044476390228
"7","KOG_04","207",218,"2012","12","3",0.074293085244622,"2013",0.071455189284,-0.0033306496000869
"8","KOG_04","208",159,"2012","12","3",0.0367088533183509,"2013",0.037374314496,0.000781007491453152
"9","KOG_04","209",117,"2012","12","3",0.006858140869476,"2013",0.006858140869476,0
"10","KOG_04","210",466,"2012","12","3",0.401510756638316,"2013",0.416585169754697,0.0176918353295141
"11","KOG_04","211",452,"2012","12","3",0.343699209220454,"2013",0.334603125561531,-0.0106754679598303
"12","KOG_04","212",208,"2012","12","3",0.0553737415626482,"2013",0.061257195914112,0.0069050187726183
"13","KOG_04","213",247,"2012","12","3",0.07551077630829,"2013",0.078280700625,0.003250875805785
"14","KOG_04","273",329,"2012","12","3",0.235894920608347,"2013",0.2552621882052,0.0227300729030592
"15","KOG_04","274",231,"2012","12","3",0.114889113685405,"2013",0.133628430635172,0.0219930890246467
"16","KOG_04","275",322,"2012","12","3",0.179795237807476,"2013",0.183837199368818,0.00474378125366545
"17","KOG_04","276",316,"2012","12","3",0.308502946922208,"2013",0.308502946922208,0
"18","KOG_04","277",670,"2012","12","3",2.27194238181111,"2013",2.27972720905116,0.00913653357755302
"19","KOG_04","278",513,"2012","12","3",0.71803513333385,"2013",0.724862052258112,0.00801230034519484
"20","KOG_04","279",107,"2012","12","3",0.0136309042906713,"2013",0.01402361227008,0.000460895216990888
"21","KOG_04","280",408,"2012","12","3",0.263102244342891,"2013",0.263102244342891,0
"22","KOG_04","281",248,"2012","12","3",0.158144203184432,"2013",0.1597365491544,0.00186883047922288
"23","KOG_04","282",364,"2012","12","3",0.404294558779415,"2013",0.409664547834624,0.00630239873038982
"24","KOG_04","283",685,"2012","12","3",0.757341686161755,"2013",0.811682212323568,0.0637758586786549
"25","KOG_04","284",153,"2012","12","3",0.0461069801903173,"2013",0.049486357157526,0.00396614981682051
"26","KOG_04","285",644,"2012","12","3",1.99079675165648,"2013",2.04829551281687,0.0674824688859912
"27","KOG_04","302",110,"2012","12","3",0.0128870299596417,"2013",0.016057371433719,0.00372081877182702
"28","KOG_04","286",745,"2012","12","3",2.28228400884692,"2013",2.35923903880791,0.0903169965780113
"29","KOG_04","287",148,"2012","12","3",0.03009731561472,"2013",0.03009731561472,0
"30","KOG_04","288",658,"2012","12","3",1.39211068779064,"2013",1.39211068779064,0
"31","KOG_04","289",432,"2012","12","3",0.350258316451422,"2013",0.356043822043201,0.00679006283279507
"32","KOG_04","290",279,"2012","12","3",0.233269661016463,"2013",0.2373367730748,0.00477329871798379
"33","KOG_04","291",221,"2012","12","3",0.114218345998256,"2013",0.120683167146446,0.00758733028646059
"34","KOG_04","292",470,"2012","12","3",0.69257029031196,"2013",0.703214336140272,0.0124922081264753
"35","KOG_04","294",140,"2012","12","3",0.0198482629157591,"2013",0.02077984404864,0.00109333477010143
"36","KOG_04","295",288,"2012","12","3",0.160137776950594,"2013",0.167347415684334,0.0084614731119456
"37","KOG_04","296",126,"2012","12","3",0.01908769447872,"2013",0.01908769447872,0
"38","KOG_04","297",150,"2012","12","3",0.0110647768162745,"2013",0.01269849571848,0.00191738713602899
"39","KOG_04","298",141,"2012","12","3",0.0142029450747007,"2013",0.015148028028672,0.00110918095884092
"40","KOG_04","299",524,"2012","12","3",1.05189067884371,"2013",1.05189067884371,0
"41","KOG_04","300",678,"2012","12","3",2.29728767814336,"2013",2.37576273300864,0.0921009486361023
"42","KOG_04","301",100,"2012","12","3",0.0123309846725164,"2013",0.0143872614296775,0.00241331516515689
"43","KOG_04","303",213,"2012","12","3",0.0745283467490473,"2013",0.0808779850032,0.00745214779024356
"44","KOG_04","304",136,"2012","12","3",0.0176599528226,"2013",0.0176599528226,0
"45","KOG_04","305",212,"2012","12","3",0.052670628461991,"2013",0.0542924955392349,0.00190347743792286
"46","KOG_04","306",160,"2012","12","3",0.0301371202857471,"2013",0.0317100512640341,0.00184604439573873
"47","KOG_04","307",103,"2012","12","3",0.00800312108331948,"2013",0.010668708579606,0.0031284226242591
"48","KOG_04","308",145,"2012","12","3",0.0201472703993229,"2013",0.0216398597819934,0.00175175281245888
"49","KOG_04","309",495,"2012","12","3",0.668405544349369,"2013",0.69529690708224,0.0315606025643022
"50","KOG_04","310",110,"2012","12","3",0.017632562949232,"2013",0.0185244739295977,0.00104677655251929
"51","KOG_04","311",128,"2012","12","3",0.0480090107586974,"2013",0.0508621667803307,0.00334855931799402
"52","KOG_04","113",367,"2012","12","3",0.631831520911962,"2013",0.635831357223936,0.00469434165231608
"53","KOG_04","312",306,"2012","12","3",0.07954384192704,"2013",0.07954384192704,0
"54","KOG_04","314",617,"2012","12","3",0.955958051973948,"2013",0.977796628016574,0.0256304831368437
"55","KOG_04","315",150,"2012","12","3",0.0187975952203145,"2013",0.0187975952203145,0
