plot_code,sub_plot,tree_tag,year,month,day,wood_density_g_m2,tree_height_year,tree_height_m,pom_height_m,baseline_dbh_year,baseline_dbh_mm,dbh_nodirection_mm,dbh_northsouth_mm,dbh_westeast_mm,dendrometer_reading_replaced_mm,status_code_intact_moved_broken,mortality_code_alive_dead,quality_code,comments,date,dendrometer_reading_mm,family,genus,species
ABC-01,5,143,2014,3,6,NA,NA,NA,1.45,NA,NA,2.05,NA,NA,NA,NA,NA,NA,NA,06/03/2014,2.05,NA,NA,NA
ABC-01,5,144,2013,9,24,NA,NA,NA,1.4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,24/09/2013,0,NA,NA,NA
ABC-01,5,144,2013,12,10,NA,NA,NA,1.4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,10/12/2013,0,NA,NA,NA
ABC-01,5,144,2014,3,6,NA,NA,NA,1.4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,06/03/2014,0,NA,NA,NA
ABC-01,5,155,2014,3,6,NA,NA,NA,1.4,NA,NA,-1.46,NA,NA,NA,NA,NA,NA,NA,06/03/2014,-1.46,NA,NA,NA
ABC-01,5,158,2013,9,24,NA,NA,NA,1.4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,24/09/2013,0,NA,NA,NA
ABC-01,5,158,2013,12,10,NA,NA,NA,1.4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,10/12/2013,0,NA,NA,NA
ABC-01,5,158,2014,3,6,NA,NA,NA,1.4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,06/03/2014,0,NA,NA,NA
ABC-01,5,159,2013,9,24,NA,NA,NA,1.4,NA,NA,1.52,NA,NA,NA,NA,NA,NA,NA,24/09/2013,1.52,NA,NA,NA
ABC-01,5,159,2013,12,10,NA,NA,NA,1.4,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,10/12/2013,3.5,NA,NA,NA
ABC-01,5,159,2014,3,6,NA,NA,NA,1.4,NA,NA,5.66,NA,NA,NA,NA,NA,NA,NA,06/03/2014,5.66,NA,NA,NA
ABC-01,5,162,2013,9,24,NA,NA,NA,1.35,NA,NA,1.58,NA,NA,NA,NA,NA,NA,NA,24/09/2013,1.58,NA,NA,NA
ABC-01,5,162,2013,12,10,NA,NA,NA,1.35,NA,NA,4.3,NA,NA,NA,NA,NA,NA,NA,10/12/2013,4.3,NA,NA,NA
ABC-01,5,162,2014,3,6,NA,NA,NA,1.35,NA,NA,7.15,NA,NA,NA,NA,NA,NA,NA,06/03/2014,7.15,NA,NA,NA
ABC-01,5,163,2013,9,24,NA,NA,NA,1.4,NA,NA,6.05,NA,NA,NA,NA,NA,NA,NA,24/09/2013,6.05,NA,NA,NA
ABC-01,5,163,2013,12,10,NA,NA,NA,1.4,NA,NA,10.3,NA,NA,NA,NA,NA,NA,NA,10/12/2013,10.3,NA,NA,NA
ABC-01,5,163,2014,3,6,NA,NA,NA,1.4,NA,NA,14.2,NA,NA,NA,NA,NA,NA,NA,06/03/2014,14.2,NA,NA,NA
ABC-01,5,168,2013,9,24,NA,NA,NA,1.35,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,24/09/2013,0,NA,NA,NA
ABC-01,5,168,2013,12,10,NA,NA,NA,1.35,NA,NA,1.13,NA,NA,NA,NA,NA,NA,NA,10/12/2013,1.13,NA,NA,NA
ABC-01,5,168,2014,3,6,NA,NA,NA,1.35,NA,NA,1.6,NA,NA,NA,NA,NA,NA,NA,06/03/2014,1.6,NA,NA,NA
ABC-01,1,17,2013,9,24,NA,NA,NA,1.4,NA,NA,1.25,NA,NA,NA,NA,NA,NA,NA,24/09/2013,1.25,NA,NA,NA
ABC-01,1,17,2013,12,10,NA,NA,NA,1.4,NA,NA,4.7,NA,NA,NA,NA,NA,NA,NA,10/12/2013,4.7,NA,NA,NA
ABC-01,1,17,2014,3,6,NA,NA,NA,1.4,NA,NA,5.95,NA,NA,NA,NA,NA,NA,NA,06/03/2014,5.95,NA,NA,NA
ABC-01,6,184,2013,9,24,NA,NA,NA,1.4,NA,NA,7.16,NA,NA,NA,NA,NA,NA,NA,24/09/2013,7.16,NA,NA,NA
ABC-01,6,184,2013,12,10,NA,NA,NA,1.4,NA,NA,13.25,NA,NA,NA,NA,NA,NA,NA,10/12/2013,13.25,NA,NA,NA
ABC-01,6,184,2014,3,6,NA,NA,NA,1.4,NA,NA,23.85,NA,NA,NA,NA,NA,NA,NA,06/03/2014,23.85,NA,NA,NA
ABC-01,6,191,2013,9,24,NA,NA,NA,1.4,NA,NA,3.67,NA,NA,NA,NA,NA,NA,NA,24/09/2013,3.67,NA,NA,NA
ABC-01,6,191,2013,12,10,NA,NA,NA,1.4,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,10/12/2013,6.5,NA,NA,NA
