"","plot_code","tree_tag","dbh_year1","year1","month","day","agC_year1","year2","agC_year2","dbh_year2","npp_per_tree_MgC_year"
"1","KOG_04","201",267,"2012","12","3",0.135996842074229,"2013",0.139952518678888,270,0.004642514343089
"2","KOG_04","202",353,"2012","12","3",0.220058398584746,"2013",0.22333037247872,355,0.00384009797845845
"3","KOG_04","203",118,"2012","12","3",0.0091697395288431,"2013",0.0091697395288431,118,0
"4","KOG_04","204",341,"2012","12","3",0.200061618810786,"2013",0.205998054003225,345,0.00696719885929385
"5","KOG_04","205",153,"2012","12","3",0.0375339844423227,"2013",0.0395322670046045,156,0.00234525123869086
"6","KOG_04","206",470,"2012","12","3",0.509846296930886,"2013",0.52096050105696,474,0.013044001627064
"7","KOG_04","207",218,"2012","12","3",0.0742929429424521,"2013",0.071455189284,215,-0.00333048258950162
"8","KOG_04","208",159,"2012","12","3",0.0367088875685591,"2013",0.037374314496,160,0.000780967294263467
"9","KOG_04","209",117,"2012","12","3",0.006858140869476,"2013",0.006858140869476,117,0
"10","KOG_04","210",466,"2012","12","3",0.401511242836279,"2013",0.416585169754697,473,0.0176912647113262
"11","KOG_04","211",452,"2012","12","3",0.343698940233952,"2013",0.334603125561531,447,-0.0106751522682759
"12","KOG_04","212",208,"2012","12","3",0.0553739867528734,"2013",0.061257195914112,216,0.00690473100917067
"13","KOG_04","213",247,"2012","12","3",0.0755109310549747,"2013",0.078280700625,250,0.00325069418990109
"14","KOG_04","273",329,"2012","12","3",0.235895455170631,"2013",0.2552621882052,340,0.0227294455228865
"15","KOG_04","274",231,"2012","12","3",0.114889617813458,"2013",0.133628430635172,246,0.0219924973631053
"16","KOG_04","275",322,"2012","12","3",0.179795351614917,"2013",0.183837199368818,325,0.00474364768544705
"17","KOG_04","277",670,"2012","12","3",2.27194255240467,"2013",2.27972720905116,671,0.0091363333632492
"18","KOG_04","278",513,"2012","12","3",0.718035340447169,"2013",0.724862052258112,515,0.00801205727007828
"19","KOG_04","279",107,"2012","12","3",0.0136309273045837,"2013",0.01402361227008,108,0.000460868207093738
"20","KOG_04","280",408,"2012","12","3",0.263102244342891,"2013",0.263102244342891,408,0
"21","KOG_04","281",248,"2012","12","3",0.158144256666204,"2013",0.1597365491544,249,0.00186876771122712
"22","KOG_04","282",364,"2012","12","3",0.404294713964,"2013",0.409664547834624,366,0.00630221660057185
"23","KOG_04","283",685,"2012","12","3",0.757342847307692,"2013",0.811682212323568,706,0.0637744959189541
"24","KOG_04","284",153,"2012","12","3",0.0461071327835686,"2013",0.049486357157526,157,0.003965970728278
"25","KOG_04","285",644,"2012","12","3",1.9907980449357,"2013",2.04829551281687,652,0.0674809510502498
"26","KOG_04","302",110,"2012","12","3",0.0128871728546172,"2013",0.016057371433719,119,0.00372065106550532
"27","KOG_04","286",745,"2012","12","3",2.2822855176985,"2013",2.35923903880791,756,0.0903152257393474
"28","KOG_04","287",148,"2012","12","3",0.03009731561472,"2013",0.03009731561472,148,0
"29","KOG_04","288",658,"2012","12","3",1.39211068779064,"2013",1.39211068779064,658,0
"30","KOG_04","289",432,"2012","12","3",0.350258469317179,"2013",0.356043822043201,435,0.00678988342443036
"31","KOG_04","290",279,"2012","12","3",0.233269781162777,"2013",0.2373367730748,281,0.00477315771025257
"32","KOG_04","291",221,"2012","12","3",0.114218549008925,"2013",0.120683167146446,226,0.00758709202635008
"33","KOG_04","292",470,"2012","12","3",0.692570590742676,"2013",0.703214336140272,473,0.0124918555309408
"34","KOG_04","294",140,"2012","12","3",0.0198483229919609,"2013",0.02077984404864,142,0.00109326426266191
"35","KOG_04","296",126,"2012","12","3",0.01908769447872,"2013",0.01908769447872,126,0
"36","KOG_04","298",141,"2012","12","3",0.0142030000297523,"2013",0.015148028028672,144,0.00110911646175464
"37","KOG_04","299",524,"2012","12","3",1.06086978046981,"2013",1.06086978046981,524,0
"38","KOG_04","300",678,"2012","12","3",2.29728937813392,"2013",2.37576273300864,688,0.0920989534703317
"39","KOG_04","301",100,"2012","12","3",0.0123311079070277,"2013",0.0143872614296775,105,0.00241317053301342
"40","KOG_04","303",213,"2012","12","3",0.0745285670457501,"2013",0.0808779850032,220,0.00745188924266627
"41","KOG_04","304",136,"2012","12","3",0.0176599528226,"2013",0.0176599528226,136,0
"42","KOG_04","305",212,"2012","12","3",0.05267073336796,"2013",0.0542924955392349,214,0.00190335431676957
"43","KOG_04","306",160,"2012","12","3",0.0301371916920922,"2013",0.0317100512640341,163,0.00184596059086424
"44","KOG_04","307",103,"2012","12","3",0.00800326869885838,"2013",0.010668708579606,113,0.0031282493777263
"45","KOG_04","308",145,"2012","12","3",0.0201473774303532,"2013",0.0216398597819934,148,0.0017516271972625
"46","KOG_04","309",495,"2012","12","3",0.668406393211919,"2013",0.69529690708224,503,0.0315596063108273
"47","KOG_04","310",110,"2012","12","3",0.0176326034560252,"2013",0.0185244739295977,112,0.00104672901239224
"48","KOG_04","311",128,"2012","12","3",0.0480091051138766,"2013",0.0508621667803307,131,0.00334844857960041
"49","KOG_04","113",367,"2012","12","3",0.631831615037487,"2013",0.635831357223936,368,0.0046942311834532
"50","KOG_04","312",306,"2012","12","3",0.07954384192704,"2013",0.07954384192704,306,0
"51","KOG_04","314",617,"2012","12","3",0.95595858273241,"2013",0.977796628016574,623,0.0256298602209643
"52","KOG_04","315",150,"2012","12","3",0.0187975952203145,"2013",0.0187975952203145,150,0
"53","KOG_04","316",285,"2012","12","3",0.0969410386425667,"2013",0.09903214326768,287,0.00245419031564738
"54","KOG_04","317",148,"2012","12","3",0.0130711912922467,"2013",0.0130711912922467,148,0
"55","KOG_04","318",104,"2012","12","3",0.00774532532963513,"2013",0.00774532532963513,104,0
"56","KOG_04","320",248,"2012","12","3",0.125788350440752,"2013",0.128456118737514,250,0.00313098208462404
"57","KOG_04","321",470,"2012","12","3",0.449202176840394,"2013",0.454212361396224,472,0.00588012013787079
"58","KOG_04","322",458,"2012","12","3",0.645641989053494,"2013",0.66274861964832,463,0.0200769137206156
"59","KOG_04","323",194,"2012","12","3",0.0256195542998847,"2013",0.0292196981093225,202,0.00422524916541736
"60","KOG_04","324",110,"2012","12","3",0.0105442159921241,"2013",0.013980337407696,121,0.00403274699898313
"61","KOG_04","328",107,"2012","12","3",0.00732132435992721,"2013",0.00796853262704693,110,0.000759585265269129
"62","KOG_04","329",159,"2012","12","3",0.0204099272607521,"2013",0.0204099272607521,159,0
"63","KOG_04","512",101,"2012","12","3",0.0117818893195613,"2013",0.016003062869409,113,0.00495411043631647
"64","KOG_04","512",101,"2012","12","3",0.0117818893195613,"2013",0.165562246498625,260,0.180481769679609
"65","KOG_04","512",255,"2012","12","3",0.157890160649051,"2013",0.016003062869409,113,-0.166523442731734
"66","KOG_04","512",255,"2012","12","3",0.157890160649051,"2013",0.165562246498625,260,0.00900421651155787
"67","KOG_04","330",463,"2012","12","3",0.708089003870691,"2013",0.729623018987594,469,0.0252730402497407
"68","KOG_04","331",101,"2012","12","3",0.0272205450745388,"2013",0.028491406752105,103,0.00149152576306006
"69","KOG_04","332",127,"2012","12","3",0.0171051221424979,"2013",0.02245868013312,140,0.0062831146835275
"70","KOG_04","333",102,"2012","12","3",0.0123512186861629,"2013",0.0151646221881,110,0.00330190443153393
"71","KOG_04","334",125,"2012","12","3",0.0194687045878025,"2013",0.020751835594752,128,0.00150592545831698
"72","KOG_04","335",150,"2012","12","3",0.0266824780837405,"2013",0.032890937578884,162,0.00728645567758005
"73","KOG_04","336",219,"2012","12","3",0.0922156707191678,"2013",0.105090831763533,231,0.0151107195536762
"74","KOG_04","337",100,"2012","12","3",0.00931102550266452,"2013",0.0122761227237,110,0.00347993725298376
"75","KOG_04","338",144,"2012","12","3",0.0247688984515798,"2013",0.029722659488676,154,0.00581389960945375
"76","KOG_04","339",100,"2012","12","3",0.00733116245115639,"2013",0.008553598878825,105,0.00143469227041493
"77","KOG_04","340",127,"2012","12","3",0.0199015675668334,"2013",0.025367590068942,139,0.00641510679507927
"78","KOG_04","341",103,"2012","12","3",0.0107857863492422,"2013",0.0129982475898,110,0.00259661849776074
"79","KOG_04","342",131,"2012","12","3",0.0217223672376869,"2013",0.030066176077872,148,0.00979257307610154
"80","KOG_04","343",127,"2012","12","3",0.0195165377497978,"2013",0.0249063611585976,139,0.00632567699103518
"81","KOG_04","344",161,"2012","12","3",0.0344794057365425,"2013",0.039203800902123,169,0.00554470815253014
"82","KOG_04","345",100,"2012","12","3",0.00971835209115639,"2013",0.011185475456925,105,0.00172186504342618
"83","KOG_04","346",105,"2012","12","3",0.00893962252578291,"2013",0.009745462986336,108,0.000945761312224685
"84","KOG_04","347",103,"2012","12","3",0.00805220726562824,"2013",0.008553598878825,105,0.000588449964041215
"85","KOG_04","348",121,"2012","12","3",0.0116799249579763,"2013",0.0108018739873637,118,-0.00103050998158712
"86","KOG_04","349",115,"2012","12","3",0.0170036031944543,"2013",0.018188660988288,118,0.00139082345578554
"87","KOG_04","350",108,"2012","12","3",0.0179102664963757,"2013",0.02430336380976,122,0.00750315279545099
"88","KOG_04","351",249,"2012","12","3",0.158800976031913,"2013",0.1636088098176,252,0.00564263450731725
"89","KOG_04","352",109,"2012","12","3",0.0136236666027449,"2013",0.0157852914945,115,0.00253695525881224
"90","KOG_04","353",191,"2012","12","3",0.0940994349555934,"2013",0.099242742106755,195,0.00603635726744049
"91","KOG_04","354",214,"2012","12","3",0.119210102901548,"2013",0.120644201285595,215,0.00168310582050553
"92","KOG_04","355",190,"2012","12","3",0.0822228880848207,"2013",0.1019237366784,208,0.0231215747159371
"93","KOG_04","356",249,"2012","12","3",0.241444540379848,"2013",0.259718681870301,257,0.0214471435498881
"94","KOG_04","357",305,"2012","12","3",0.219440599465849,"2013",0.236868892029,315,0.0204544269631838
"95","KOG_04","358",391,"2012","12","3",0.503573921976461,"2013",0.519470029762834,396,0.018656203672109
"96","KOG_04","359",139,"2012","12","3",0.0223465212462641,"2013",0.0250953310905,145,0.00322609515481067
"97","KOG_04","360",101,"2012","12","3",0.0103433751786321,"2013",0.01835271395232,124,0.00940002782120927
