"","plot_code","tree_tag","dbh","year","month","agC.1","agC.2","npp_day","NPPpertree_MgC_ha_yr"
"1","XXX_02",1,162,2014,10,0.261169309797121,0.273482981150676,2.98875518290176e-05,0.0109089564175914
"2","XXX_02",10,689,2014,10,9.55575927360985,9.69387834688528,0.000335240469115125,0.122362771227021
"3","XXX_02",11,347,2014,10,1.66437614093627,1.67625728118762,2.88377190566702e-05,0.0105257674556846
"4","XXX_02",2,399,2014,10,1.21241068718387,1.24289600004258,7.39934778123963e-05,0.0270076194015246
"5","XXX_02",3,309,2014,10,0.885906455705939,0.900199104658473,3.46908955158595e-05,0.0126621768632887
"6","XXX_02",4,220,2014,10,0.376712662478064,0.389679082336614,3.14718928605579e-05,0.0114872408941036
"7","XXX_02",5,361,2014,10,1.32076609864616,1.32076609864616,0,0
"8","XXX_02",6,122,2014,10,0.0960136148279813,0.102090022545367,1.47485624208378e-05,0.00538322528360579
"9","XXX_02",7,151,2014,10,0.127805812595684,0.127805812595684,0,0
"10","XXX_02",8,178,2014,10,0.237665440951644,0.247833686171471,2.46802068442405e-05,0.00900827549814776
"11","XXX_02",844,367,2014,10,1.5651711596707,1.57573236094579,2.56339836773942e-05,0.00935640404224889
"12","XXX_02",845,NA,2014,10,NA,NA,NA,NA
"13","XXX_02",9,237,2014,10,0.496668218301757,0.50187135121746,1.26289633876304e-05,0.0046095716364851
"14","XXX_02",87,139,2014,10,0.171137908043052,0.174210694817883,7.45822032726072e-06,0.00272225041945016
"15","XXX_02",88,375,2014,10,1.78905222555056,1.78905222555056,0,0
"16","XXX_02",89,375,2014,10,1.77731657444652,1.78905222555056,2.84845900583664e-05,0.0103968753713037
"17","XXX_02",90,370,2014,10,1.70786395096167,1.7308321051029,5.57479469447451e-05,0.020348000634832
"18","XXX_02",91,200,2014,10,0.427105205925043,0.427105205925043,0,0
"19","XXX_02",92,120,2014,10,0.100209298705431,0.100209298705431,0,0
"20","XXX_02",93,283,2014,10,0.927652114080648,0.919622214466434,-1.94900476073165e-05,-0.00711386737667053
"21","XXX_02",94,622,2014,10,7.71907565579234,7.71907565579234,0,0
