"Stem tag grouping","tree_tag","T1","T2","X","Y","Family","original identification","Species","Tree Notes","dbh","POM","Extra D","Extra POM","Flag1","Flag2","Flag3","Flag4","LI","CI","CF","CD1","CD2","height_m","Flag5","Height Broken At","Census Notes","voucher code","voucher collected","census_date","plot_code","year","month","day"
NA,387,"3","",15,4,"Euphorbiaceae",NA,"Macaranga pearsonii",NA,149,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,388,"3","",15,4,"Euphorbiaceae",NA,"Macaranga pearsonii",NA,203,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,389,"4","",2,8,"Dipterocarpaceae",NA,"Indet indet",NA,115,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,390,"4","",5,8,"Dipterocarpaceae",NA,"Shorea macrophylla",NA,227,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,391,"4","",NA,NA,"Dipterocarpaceae",NA,"Shorea macrophylla",NA,209,1300,NA,NA,"c","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,392,"4","",5,10,"Moraceae",NA,"Artocarpus tamaran",NA,214,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,393,"4","",5,10,"Dipterocarpaceae",NA,"Dipterocarpus gracilis",NA,183,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,394,"4","",4,10,"Annonaceae",NA,"Phaeanthus splendens",NA,128,1300,NA,NA,"ah","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,395,"4","",6,11,"Annonaceae",NA,"Phaeanthus splendens",NA,170,1300,NA,NA,"ah","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,396,"4","",5,11,"Indet",NA,"Indet indet",NA,153,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,397,"4","",5,14,"Lauraceae",NA,"Lindera lucida",NA,315,1800,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,398,"4","",4,7,"Sapotaceae",NA,"Palaquium dasyphyllum",NA,125,1300,NA,NA,"b","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,399,"4","",9,12,"Dipterocarpaceae",NA,"Shorea macrophylla",NA,268,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,400,"4","",9,10,"Fagaceae",NA,"Lithocarpus ureolaris",NA,227,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,401,"4","",13,10,"Dipterocarpaceae",NA,"Shorea fallax",NA,113,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,402,"4","",13,10,"Dipterocarpaceae",NA,"Dipterocarpus kunstleri",NA,121,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,403,"4","",15,12,"Phyllanthaceae",NA,"Baccaurea angulata",NA,150,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,404,"4","",15,13,"Indet",NA,"Indet indet",NA,105,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,405,"4","",10,5,"Indet",NA,"Indet indet",NA,116,1300,NA,NA,"c","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,406,"4","",9,19,"Indet",NA,"Indet indet",NA,100,1300,NA,NA,"c","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,407,"4","",9,17,"Dipterocarpaceae",NA,"Shorea parvistipulata",NA,100,1300,NA,NA,"c","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,408,"4","",19,17,"Dipterocarpaceae",NA,"Indet indet",NA,108,1300,NA,NA,"ah","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,5070,"4","",16,16,"Indet",NA,"Indet indet",NA,113,1300,NA,NA,"c","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,5071,"4","",NA,NA,"Indet",NA,"Indet indet",NA,111,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,5073,"4","",18,17,"Indet",NA,"Indet indet",NA,120,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,409,"5","",NA,NA,"Indet",NA,"Indet indet",NA,365,1300,NA,NA,"ch","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,5068,"5","",3,8,"Indet",NA,"Indet indet",NA,150,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,5069,"5","",-1,7,"Indet",NA,"Indet indet",NA,157,1300,NA,NA,"c","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,5072,"5","",-1,14,"Indet",NA,"Indet indet",NA,125,1300,NA,NA,"ah","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,5078,"5","",6,18,"Indet",NA,"Indet indet",NA,155,1300,NA,NA,"c","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,5079,"5","",6,17,"Indet",NA,"Indet indet",NA,118,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,5080,"5","",NA,NA,"Indet",NA,"Indet indet",NA,465,1300,NA,NA,"ah","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,5081,"5","",NA,NA,"Indet",NA,"Indet indet",NA,125,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,5082,"5","",7,13,"Indet",NA,"Indet indet",NA,184,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,5083,"5","",8,13,"Indet",NA,"Indet indet",NA,119,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,5084,"5","",9,13,"Indet",NA,"Indet indet",NA,125,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,5085,"5","",8,13,"Indet",NA,"Indet indet",NA,165,1300,NA,NA,"c","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,5086,"5","",8,15,"Indet",NA,"Indet indet",NA,145,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,5087,"5","",12,13,"Indet",NA,"Indet indet",NA,189,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,5088,"5","",20,21,"Indet",NA,"Indet indet",NA,107,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,5089,"5","",14,17,"Indet",NA,"Indet indet",NA,146,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,5090,"5","",14,15,"Indet",NA,"Indet indet",NA,116,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,5091,"5","",13,12,"Indet",NA,"Indet indet",NA,131,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,5092,"5","",15,12,"Indet",NA,"Indet indet",NA,114,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,5093,"5","",16,13,"Indet",NA,"Indet indet",NA,141,1300,NA,NA,"b","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,5094,"5","",18,13,"Indet",NA,"Indet indet",NA,189,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,5095,"5","",19,14,"Indet",NA,"Indet indet",NA,404,1300,NA,NA,"ec","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,5096,"5","",19,18,"Indet",NA,"Indet indet",NA,127,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,410,"6","",14,22,"Dipterocarpaceae",NA,"Shorea angustifolia",NA,104,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,411,"6","",15,10,"Rubiaceae",NA,"Diplospora malaccensis",NA,129,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,412,"6","",14,10,"Annonaceae",NA,"Miliusa macropoda",NA,308,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,413,"6","",NA,NA,"Indet",NA,"Indet indet",NA,102,1300,NA,NA,"bc","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,414,"6","",11,13,"Sapotaceae",NA,"Palaquium sericeum",NA,141,1300,NA,NA,"b","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,415,"6","",14,17,"Euphorbiaceae",NA,"Macaranga gigantea",NA,216,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,416,"6","",NA,NA,"Dipterocarpaceae",NA,"Vatica albiramis",NA,145,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,417,"6","",NA,NA,"Euphorbiaceae",NA,"Macaranga gigantea",NA,279,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,418,"6","",5,18,"Euphorbiaceae",NA,"Macaranga gigantea",NA,147,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,419,"6","",2,19,"Euphorbiaceae",NA,"Macaranga gigantea",NA,252,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,420,"6","",9,15,"Dipterocarpaceae",NA,"Shorea almon",NA,164,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,421,"6","",7,14,"Euphorbiaceae",NA,"Koilodepas longifolium",NA,151,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,422,"6","",10,12,"Moraceae",NA,"Artocarpus lanceifolius",NA,106,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,423,"6","",1,15,"Fagaceae",NA,"Trigonobalanus verticillata",NA,245,1800,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,424,"6","",8,7,"Indet",NA,"Indet indet",NA,101,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,425,"6","",7,7,"Alangiaceae",NA,"Alangium javanicum",NA,137,1700,NA,NA,"c","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,426,"6","",4,5,"Achariaceae",NA,"Hydnocarpus anomala",NA,446,2000,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,5074,"6","",4,4,"Indet",NA,"Indet indet",NA,158,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,5075,"6","",5,1,"Indet",NA,"Indet indet",NA,180,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,5076,"6","",8,20,"Indet",NA,"Indet indet",NA,199,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,5077,"6","",NA,NA,"Indet",NA,"Indet indet",NA,NA,NA,NA,NA,"0","mph",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,5097,"6","",NA,NA,"Indet",NA,"Indet indet",NA,NA,1300,NA,NA,"c","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,5098,"6","",18,19,"Indet",NA,"Indet indet",NA,NA,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,5099,"6","",17,19,"Indet",NA,"Indet indet",NA,NA,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,5100,"6","",16,21,"Indet",NA,"Indet indet",NA,NA,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,5101,"6","",12,21,"Indet",NA,"Indet indet",NA,NA,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,427,"7","",19,2,"Phyllanthaceae",NA,"Cleistanthus myrianthus",NA,NA,1300,NA,NA,"c","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,428,"7","",15,4,"Euphorbiaceae",NA,"Mallotus stipularis",NA,NA,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,429,"7","",17,12,"Euphorbiaceae",NA,"Mallotus stipularis",NA,NA,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,430,"7","",17,12,"Dipterocarpaceae",NA,"Shorea ovata",NA,NA,1700,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,431,"7","",17,13,"Dipterocarpaceae",NA,"Parashorea tomentella",NA,NA,1300,NA,NA,"c","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,432,"7","",13,12,"Indet",NA,"Indet indet",NA,NA,1300,NA,NA,"c","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
