"","plot_code","tree_tag","dbh_year1","year1","month","day","agC_year1","year2","agC_year2","dbh_year2","npp_per_tree_MgC_year","woody_npp"
"1","KOG_04","201",267,"2012","12","3",0.135996842074229,"2013",0.139952518678888,270,0.004642514343089,0.00561744235513769
"2","KOG_04","202",353,"2012","12","3",0.220058398584746,"2013",0.22333037247872,355,0.00384009797845845,0.00464651855393472
"3","KOG_04","203",118,"2012","12","3",0.0091697395288431,"2013",0.0091697395288431,118,0,0
"4","KOG_04","204",341,"2012","12","3",0.200061618810786,"2013",0.205998054003225,345,0.00696719885929385,0.00843031061974556
"5","KOG_04","205",153,"2012","12","3",0.0375339844423227,"2013",0.0395322670046045,156,0.00234525123869086,0.00283775399881594
"6","KOG_04","206",470,"2012","12","3",0.509846296930886,"2013",0.52096050105696,474,0.013044001627064,0.0157832419687474
"7","KOG_04","207",218,"2012","12","3",0.0742929429424521,"2013",0.071455189284,215,-0.00333048258950162,-0.00402988393329697
"8","KOG_04","208",159,"2012","12","3",0.0367088875685591,"2013",0.037374314496,160,0.000780967294263467,0.000944970426058795
"9","KOG_04","209",117,"2012","12","3",0.006858140869476,"2013",0.006858140869476,117,0,0
"10","KOG_04","210",466,"2012","12","3",0.401511242836279,"2013",0.416585169754697,473,0.0176912647113262,0.0214064303007047
"11","KOG_04","211",452,"2012","12","3",0.343698940233952,"2013",0.334603125561531,447,-0.0106751522682759,-0.0129169342446138
"12","KOG_04","212",208,"2012","12","3",0.0553739867528734,"2013",0.061257195914112,216,0.00690473100917067,0.00835472452109651
"13","KOG_04","213",247,"2012","12","3",0.0755109310549747,"2013",0.078280700625,250,0.00325069418990109,0.00393333996978032
"14","KOG_04","273",329,"2012","12","3",0.235895455170631,"2013",0.2552621882052,340,0.0227294455228865,0.0275026290826927
"15","KOG_04","274",231,"2012","12","3",0.114889617813458,"2013",0.133628430635172,246,0.0219924973631053,0.0266109218093574
"16","KOG_04","275",322,"2012","12","3",0.179795351614917,"2013",0.183837199368818,325,0.00474364768544705,0.00573981369939093
"17","KOG_04","277",670,"2012","12","3",2.27194255240467,"2013",2.27972720905116,671,0.0091363333632492,0.0110549633695315
"18","KOG_04","278",513,"2012","12","3",0.718035340447169,"2013",0.724862052258112,515,0.00801205727007828,0.00969458929679472
"19","KOG_04","279",107,"2012","12","3",0.0136309273045837,"2013",0.01402361227008,108,0.000460868207093738,0.000557650530583424
"20","KOG_04","280",408,"2012","12","3",0.263102244342891,"2013",0.263102244342891,408,0,0
"21","KOG_04","281",248,"2012","12","3",0.158144256666204,"2013",0.1597365491544,249,0.00186876771122712,0.00226120893058481
"22","KOG_04","282",364,"2012","12","3",0.404294713964,"2013",0.409664547834624,366,0.00630221660057185,0.00762568208669193
"23","KOG_04","283",685,"2012","12","3",0.757342847307692,"2013",0.811682212323568,706,0.0637744959189541,0.0771671400619345
"24","KOG_04","284",153,"2012","12","3",0.0461071327835686,"2013",0.049486357157526,157,0.003965970728278,0.00479882458121638
"25","KOG_04","285",644,"2012","12","3",1.9907980449357,"2013",2.04829551281687,652,0.0674809510502498,0.0816519507708022
"26","KOG_04","302",110,"2012","12","3",0.0128871728546172,"2013",0.016057371433719,119,0.00372065106550532,0.00450198778926144
"27","KOG_04","286",745,"2012","12","3",2.2822855176985,"2013",2.35923903880791,756,0.0903152257393474,0.10928142314461
"28","KOG_04","287",148,"2012","12","3",0.03009731561472,"2013",0.03009731561472,148,0,0
"29","KOG_04","288",658,"2012","12","3",1.39211068779064,"2013",1.39211068779064,658,0,0
"30","KOG_04","289",432,"2012","12","3",0.350258469317179,"2013",0.356043822043201,435,0.00678988342443036,0.00821575894356074
"31","KOG_04","290",279,"2012","12","3",0.233269781162777,"2013",0.2373367730748,281,0.00477315771025257,0.00577552082940561
"32","KOG_04","291",221,"2012","12","3",0.114218549008925,"2013",0.120683167146446,226,0.00758709202635008,0.0091803813518836
"33","KOG_04","292",470,"2012","12","3",0.692570590742676,"2013",0.703214336140272,473,0.0124918555309408,0.0151151451924384
"34","KOG_04","294",140,"2012","12","3",0.0198483229919609,"2013",0.02077984404864,142,0.00109326426266191,0.00132284975782092
"35","KOG_04","296",126,"2012","12","3",0.01908769447872,"2013",0.01908769447872,126,0,0
"36","KOG_04","298",141,"2012","12","3",0.0142030000297523,"2013",0.015148028028672,144,0.00110911646175464,0.00134203091872312
"37","KOG_04","299",524,"2012","12","3",1.06086978046981,"2013",1.06086978046981,524,0,0
"38","KOG_04","300",678,"2012","12","3",2.29728937813392,"2013",2.37576273300864,688,0.0920989534703317,0.111439733699101
"39","KOG_04","301",100,"2012","12","3",0.0123311079070277,"2013",0.0143872614296775,105,0.00241317053301342,0.00291993634494624
"40","KOG_04","303",213,"2012","12","3",0.0745285670457501,"2013",0.0808779850032,220,0.00745188924266627,0.00901678598362619
"41","KOG_04","304",136,"2012","12","3",0.0176599528226,"2013",0.0176599528226,136,0,0
"42","KOG_04","305",212,"2012","12","3",0.05267073336796,"2013",0.0542924955392349,214,0.00190335431676957,0.00230305872329118
"43","KOG_04","306",160,"2012","12","3",0.0301371916920922,"2013",0.0317100512640341,163,0.00184596059086424,0.00223361231494573
"44","KOG_04","307",103,"2012","12","3",0.00800326869885838,"2013",0.010668708579606,113,0.0031282493777263,0.00378518174704883
"45","KOG_04","308",145,"2012","12","3",0.0201473774303532,"2013",0.0216398597819934,148,0.0017516271972625,0.00211946890868763
"46","KOG_04","309",495,"2012","12","3",0.668406393211919,"2013",0.69529690708224,503,0.0315596063108273,0.0381871236361011
