"","plot_code","year","month","sub_plot","Treatment_code","quadrat_num","Plants_type","dry_mass_g","note","is_stock","day","quadrat_area_m2","date","npp_g_m2","stock_MgC_ha"
"56","ABC-01",2018,12,"2","open","F1","grass",50.6,"","Y",15,0.25,2018-12-15,202.4,1.012
"57","ABC-01",2018,12,"2","open","F2","grass",30.12,"","Y",15,0.25,2018-12-15,120.48,0.6024
"58","ABC-01",2018,12,"2","open","F3","grass",43.85,"","Y",15,0.25,2018-12-15,175.4,0.877
"59","ABC-01",2018,12,"2","open","F4","grass",59.04,"","Y",15,0.25,2018-12-15,236.16,1.1808
"60","ABC-01",2018,12,"2","open","F5","grass",46.22,"","Y",15,0.25,2018-12-15,184.88,0.9244
"61","ABC-01",2018,12,"3","caged","A1","grass",34.73,"","Y",15,0.25,2018-12-15,138.92,0.6946
"62","ABC-01",2018,12,"3","caged","A2","grass",34.25,"","Y",15,0.25,2018-12-15,137,0.685
"63","ABC-01",2018,12,"3","caged","A3","grass",34.63,"","Y",15,0.25,2018-12-15,138.52,0.6926
"64","ABC-01",2018,12,"3","caged","A4","grass",33.07,"","Y",15,0.25,2018-12-15,132.28,0.6614
"65","ABC-01",2018,12,"3","caged","A5","grass",23.36,"","Y",15,0.25,2018-12-15,93.44,0.4672
"66","ABC-01",2018,12,"3","open","B1","grass",36.55,"","Y",15,0.25,2018-12-15,146.2,0.731
"67","ABC-01",2018,12,"3","open","B2","grass",38.81,"","Y",15,0.25,2018-12-15,155.24,0.7762
"68","ABC-01",2018,12,"3","open","B3","grass",99.47,"","Y",15,0.25,2018-12-15,397.88,1.9894
"69","ABC-01",2018,12,"3","open","B4","grass",34.15,"","Y",15,0.25,2018-12-15,136.6,0.683
"70","ABC-01",2018,12,"3","open","B5","grass",96.13,"","Y",15,0.25,2018-12-15,384.52,1.9226
"71","ABC-01",2018,12,"3","caged","C1","grass",31.64,"","Y",15,0.25,2018-12-15,126.56,0.6328
"72","ABC-01",2018,12,"3","caged","C2","grass",26.12,"","Y",15,0.25,2018-12-15,104.48,0.5224
"73","ABC-01",2018,12,"3","caged","C3","grass",61.05,"","Y",15,0.25,2018-12-15,244.2,1.221
"74","ABC-01",2018,12,"3","caged","C4","grass",46.83,"","Y",15,0.25,2018-12-15,187.32,0.9366
