"","plot_code","year","month","sub_plot","Treatment_code","quadrat_num","Plants_type","dry_mass_g","note","is_stock","day","quadrat_area_m2","date","DaysBetween","npp_g_m2_per_day","npp_MgC_ha_year"
"55","TMA-01",2019,7,"1","open","F1","grass ",1.56,"","N",15,0.25,2019-07-15,122,0.0511475409836066,0.093344262295082
"56","TMA-01",2019,7,"1","open","F1","woody",0,"","N",15,0.25,2019-07-15,122,0,0
"57","TMA-01",2019,7,"1","open","F1","herbs",0,"","N",15,0.25,2019-07-15,122,0,0
"58","TMA-01",2019,7,"1","open","F5","grass ",0,"","N",15,0.25,2019-07-15,122,0,0
"59","TMA-01",2019,7,"1","open","F5","woody",0,"","N",15,0.25,2019-07-15,122,0,0
"60","TMA-01",2019,7,"1","open","F5","herbs",0,"","N",15,0.25,2019-07-15,122,0,0
"61","TMA-01",2019,9,"1","caged","A3","grass ",67.86,"","N",15,0.25,2019-09-15,62,4.37806451612903,7.98996774193548
"62","TMA-01",2019,9,"1","caged","A3","woody",0,"","N",15,0.25,2019-09-15,62,0,0
"63","TMA-01",2019,9,"1","caged","A3","herbs",0,"","N",15,0.25,2019-09-15,62,0,0
"64","TMA-01",2019,9,"1","caged","A4","grass ",31.5,"","N",15,0.25,2019-09-15,62,2.03225806451613,3.70887096774194
"65","TMA-01",2019,9,"1","caged","A4","woody",0,"","N",15,0.25,2019-09-15,62,0,0
"66","TMA-01",2019,9,"1","caged","A4","herbs",0,"","N",15,0.25,2019-09-15,62,0,0
"67","TMA-01",2019,9,"1","open","B1","grass ",13.45,"","N",15,0.25,2019-09-15,62,0.867741935483871,1.58362903225806
"68","TMA-01",2019,9,"1","open","B1","woody",0,"","N",15,0.25,2019-09-15,62,0,0
"69","TMA-01",2019,9,"1","open","B1","herbs",0.05,"","N",15,0.25,2019-09-15,62,0.0032258064516129,0.00588709677419355
"70","TMA-01",2019,9,"1","open","B5","grass ",59.47,"","N",15,0.25,2019-09-15,62,3.83677419354839,7.00211290322581
"71","TMA-01",2019,9,"1","open","B5","woody",0,"","N",15,0.25,2019-09-15,62,0,0
"72","TMA-01",2019,9,"1","open","B5","herbs",0,"","N",15,0.25,2019-09-15,62,0,0
"73","TMA-01",2019,9,"1","caged","C3","grass ",73.63,"","N",15,0.25,2019-09-15,62,4.75032258064516,8.66933870967742
"74","TMA-01",2019,9,"1","caged","C3","woody",0,"","N",15,0.25,2019-09-15,62,0,0
"75","TMA-01",2019,9,"1","caged","C3","herbs",0,"","N",15,0.25,2019-09-15,62,0,0
"76","TMA-01",2019,9,"1","open","D1","grass ",20.39,"","N",15,0.25,2019-09-15,62,1.31548387096774,2.40075806451613
"77","TMA-01",2019,9,"1","open","D1","woody",0,"","N",15,0.25,2019-09-15,62,0,0
"78","TMA-01",2019,9,"1","open","D1","herbs",0.34,"","N",15,0.25,2019-09-15,62,0.0219354838709677,0.0400322580645161
"79","TMA-01",2019,9,"1","open","D5","grass ",23.59,"","N",15,0.25,2019-09-15,62,1.52193548387097,2.77753225806452
"80","TMA-01",2019,9,"1","open","D5","woody",0,"","N",15,0.25,2019-09-15,62,0,0
"81","TMA-01",2019,9,"1","open","D5","herbs",0,"","N",15,0.25,2019-09-15,62,0,0
"82","TMA-01",2019,9,"1","caged","E1","grass ",20.5,"","N",15,0.25,2019-09-15,62,1.32258064516129,2.41370967741935
"83","TMA-01",2019,9,"1","caged","E1","woody",0,"","N",15,0.25,2019-09-15,62,0,0
"84","TMA-01",2019,9,"1","caged","E1","herbs",0,"","N",15,0.25,2019-09-15,62,0,0
"85","TMA-01",2019,9,"1","caged","E5","grass ",41.36,"","N",15,0.25,2019-09-15,62,2.66838709677419,4.8698064516129
"86","TMA-01",2019,9,"1","caged","E5","woody",0,"","N",15,0.25,2019-09-15,62,0,0
"87","TMA-01",2019,9,"1","caged","E5","herbs",0,"","N",15,0.25,2019-09-15,62,0,0
"88","TMA-01",2019,9,"1","open","F3","grass ",0,"","N",15,0.25,2019-09-15,62,0,0
"89","TMA-01",2019,9,"1","open","F3","woody",0,"","N",15,0.25,2019-09-15,62,0,0
"90","TMA-01",2019,9,"1","open","F3","herbs",0.98,"","N",15,0.25,2019-09-15,62,0.0632258064516129,0.115387096774194
