"","plot_code","year","month","sub_plot","Treatment_code","quadrat_num","Plants_type","dry_mass_g","note","is_stock","day","quadrat_area_m2","date","npp_g_m2","stock_MgC_ha"
"1","TMA-01",2018,12,"1","caged","A1","grass",32.15,"","Y",15,0.25,2018-12-15,128.6,0.643
"2","TMA-01",2018,12,"1","caged","A2","grass",94.98,"","Y",15,0.25,2018-12-15,379.92,1.8996
"3","TMA-01",2018,12,"1","caged","A3","grass",30.46,"","Y",15,0.25,2018-12-15,121.84,0.6092
"4","TMA-01",2018,12,"1","caged","A4","grass",55.4,"","Y",15,0.25,2018-12-15,221.6,1.108
"5","TMA-01",2018,12,"1","caged","A5","grass",32.75,"","Y",15,0.25,2018-12-15,131,0.655
"6","TMA-01",2018,12,"1","open","B1","grass",50.5,"","Y",15,0.25,2018-12-15,202,1.01
"7","TMA-01",2018,12,"1","open","B2","grass",27.4,"","Y",15,0.25,2018-12-15,109.6,0.548
"8","TMA-01",2018,12,"1","open","B3","grass",77.7,"","Y",15,0.25,2018-12-15,310.8,1.554
"9","TMA-01",2018,12,"1","open","B4","grass",48.96,"","Y",15,0.25,2018-12-15,195.84,0.9792
"10","TMA-01",2018,12,"1","open","B5","grass",103.8,"","Y",15,0.25,2018-12-15,415.2,2.076
"11","TMA-01",2018,12,"1","caged","C1","grass",71.4,"","Y",15,0.25,2018-12-15,285.6,1.428
"12","TMA-01",2018,12,"1","caged","C2","grass",52.63,"","Y",15,0.25,2018-12-15,210.52,1.0526
"13","TMA-01",2018,12,"1","caged","C3","grass",53.5,"","Y",15,0.25,2018-12-15,214,1.07
"14","TMA-01",2018,12,"1","caged","C4","grass",49.38,"","Y",15,0.25,2018-12-15,197.52,0.9876
"15","TMA-01",2018,12,"1","caged","C5","grass",36.14,"","Y",15,0.25,2018-12-15,144.56,0.7228
"16","TMA-01",2018,12,"1","open","D1","grass",48.59,"","Y",15,0.25,2018-12-15,194.36,0.9718
"17","TMA-01",2018,12,"1","open","D2","grass",68.07,"","Y",15,0.25,2018-12-15,272.28,1.3614
"18","TMA-01",2018,12,"1","open","D3","grass",37.71,"","Y",15,0.25,2018-12-15,150.84,0.7542
"19","TMA-01",2018,12,"1","open","D4","grass",79.61,"","Y",15,0.25,2018-12-15,318.44,1.5922
"20","TMA-01",2018,12,"1","open","D5","grass",55,"","Y",15,0.25,2018-12-15,220,1.1
"21","TMA-01",2018,12,"1","caged","E1","grass",59.36,"","Y",15,0.25,2018-12-15,237.44,1.1872
"22","TMA-01",2018,12,"1","caged","E2","grass",36.1,"","Y",15,0.25,2018-12-15,144.4,0.722
"23","TMA-01",2018,12,"1","caged","E3","grass",36.2,"","Y",15,0.25,2018-12-15,144.8,0.724
"24","TMA-01",2018,12,"1","caged","E4","grass",56.89,"","Y",15,0.25,2018-12-15,227.56,1.1378
"25","TMA-01",2018,12,"1","caged","E5","grass",72.93,"","Y",15,0.25,2018-12-15,291.72,1.4586
"26","TMA-01",2018,12,"1","open","F1","grass",53.03,"","Y",15,0.25,2018-12-15,212.12,1.0606
"27","TMA-01",2018,12,"1","open","F2","grass",88.71,"","Y",15,0.25,2018-12-15,354.84,1.7742
"28","TMA-01",2018,12,"1","open","F3","grass",17.93,"","Y",15,0.25,2018-12-15,71.72,0.3586
"29","TMA-01",2018,12,"1","open","F4","grass",50.08,"","Y",15,0.25,2018-12-15,200.32,1.0016
"30","TMA-01",2018,12,"1","open","F5","grass",38.61,"","Y",15,0.25,2018-12-15,154.44,0.7722
