,plot_code,year,month,day,litterfall_trap_num,sub_plot_code,litterfall_trap_size_m2,leaves_MgC_ha_month,twigs_MgC_ha_month,flowers_MgC_ha_month,fruits_MgC_ha_month,seeds_MgC_ha_month,bromeliads_MgC_ha_month,epiphytes_MgC_ha_month,other_MgC_ha_month,palm_leaves_MgC_ha_month,palm_flowers_MgC_ha_month,palm_fruits_MgC_ha_month,total_litterfall_MgC_ha_month,quality_code,comments,date,DaysBetween
37,ABA-00,2013,8,28,1,1,0.25,17.31141176,0.008128235,0.005188235,0.005707059,NA,NA,0.000172941,NA,NA,NA,NA,17.31141176,good,NA,28/08/2013,34
38,ABA-00,2013,8,28,2,2,0.25,7.021411765,NA,0.003112941,NA,NA,NA,0.000345882,NA,NA,NA,NA,7.021411765,good,NA,28/08/2013,34
39,ABA-00,2013,8,28,3,3,0.25,14.26764706,0.012624706,0.001902353,0.002594118,NA,NA,0.004323529,NA,NA,NA,NA,14.26764706,good,NA,28/08/2013,34
40,ABA-00,2013,8,28,4,4,0.25,6.796588235,NA,0.003631765,NA,NA,NA,0.003112941,NA,NA,NA,NA,6.796588235,good,NA,28/08/2013,34
41,ABA-00,2013,8,28,5,5,0.25,7.989882353,NA,0.163602353,NA,NA,NA,NA,NA,NA,NA,NA,7.989882353,good,NA,28/08/2013,34
42,ABA-00,2013,8,28,6,6,0.25,19.55964706,NA,0.004669412,NA,NA,NA,0.000345882,NA,NA,NA,NA,19.55964706,good,NA,28/08/2013,34
43,ABA-00,2013,8,28,7,7,0.25,9.926823529,0.002075294,NA,NA,NA,NA,0.003804706,NA,NA,NA,NA,9.926823529,good,NA,28/08/2013,34
44,ABA-00,2013,8,28,8,8,0.25,11.466,0.006917647,0.001210588,NA,NA,NA,0.002767059,0.000691765,NA,NA,NA,11.466,good,NA,28/08/2013,34
45,ABA-00,2013,8,28,9,9,0.25,11.95023529,NA,NA,0.004669412,NA,NA,0.000172941,NA,NA,NA,NA,11.95023529,good,NA,28/08/2013,34
46,ABA-00,2013,8,28,10,10,0.25,11.60435294,0.007436471,NA,0.000345882,NA,0.009857647,0.005361176,NA,NA,NA,NA,11.60435294,good,NA,28/08/2013,34
47,ABA-00,2013,8,28,11,11,0.25,14.49247059,NA,0.017985882,0.033896471,NA,NA,0.001902353,NA,NA,NA,NA,14.49247059,good,NA,28/08/2013,34
48,ABA-00,2013,8,28,12,12,0.25,15.13235294,NA,0.001037647,NA,NA,NA,0.000691765,NA,NA,NA,NA,15.13235294,good,NA,28/08/2013,34
49,ABA-00,2013,9,25,1,1,0.25,26.712,0.02667,NA,0.00294,NA,NA,0.00525,NA,NA,NA,NA,26.712,good,NA,25/09/2013,28
50,ABA-00,2013,9,25,2,2,0.25,9.912,0.00798,NA,0.00168,NA,NA,0.00672,NA,NA,NA,NA,9.912,good,NA,25/09/2013,28
51,ABA-00,2013,9,25,3,3,0.25,11.361,0.01302,0.00483,0.00147,NA,NA,0.0021,0.01008,NA,NA,NA,11.361,good,NA,25/09/2013,28
52,ABA-00,2013,9,25,4,4,0.25,7.413,0.00063,0.00168,0.00336,NA,NA,0.00084,0.0084,NA,NA,NA,7.413,good,NA,25/09/2013,28
53,ABA-00,2013,9,25,5,5,0.25,17.073,0.02268,0.05733,0.00042,NA,NA,0.00126,0.00462,NA,NA,NA,17.073,good,NA,25/09/2013,28
54,ABA-00,2013,9,25,6,6,0.25,15.582,0.00756,0.00378,0.00042,NA,NA,0.00084,0.00357,NA,NA,NA,15.582,good,NA,25/09/2013,28
55,ABA-00,2013,9,25,7,7,0.25,8.127,0.00126,NA,0.00336,NA,NA,0.00462,0.00042,NA,NA,NA,8.127,good,NA,25/09/2013,28
56,ABA-00,2013,9,25,8,8,0.25,8.778,NA,0.00399,0.00063,NA,NA,0.00231,0.00525,NA,NA,NA,8.778,good,NA,25/09/2013,28
57,ABA-00,2013,9,25,9,9,0.25,13.818,NA,0.00672,0.00084,NA,NA,NA,NA,NA,NA,NA,13.818,good,NA,25/09/2013,28
58,ABA-00,2013,9,25,10,10,0.25,17.472,0.00168,0.00504,0.00168,NA,0.00294,NA,NA,NA,NA,NA,17.472,good,NA,25/09/2013,28
59,ABA-00,2013,9,25,11,11,0.25,23.646,0.00315,NA,0.03444,NA,NA,0.00525,0.00147,NA,NA,NA,23.646,good,NA,25/09/2013,28
60,ABA-00,2013,9,25,12,12,0.25,17.577,0.01638,0.00462,0.01827,NA,NA,NA,NA,NA,NA,NA,17.577,good,NA,25/09/2013,28
61,ABA-00,2013,10,20,1,1,0.25,21.59136,0.048216,NA,0.0037632,NA,NA,0.0136416,0.0150528,NA,NA,NA,21.59136,good,NA,20/10/2013,25
62,ABA-00,2013,10,20,2,2,0.25,23.82576,NA,0.0032928,0.002352,NA,NA,0.0014112,NA,NA,NA,NA,23.82576,good,NA,20/10/2013,25
63,ABA-00,2013,10,20,3,3,0.25,14.48832,0.0381024,0.0030576,0.0030576,NA,NA,0.0032928,NA,NA,NA,NA,14.48832,good,NA,20/10/2013,25
64,ABA-00,2013,10,20,4,4,0.25,11.54832,NA,0.0014112,0.002352,NA,NA,0.0028224,NA,NA,NA,NA,11.54832,good,NA,20/10/2013,25
65,ABA-00,2013,10,20,5,5,0.25,12.32448,0.0265776,NA,0.0221088,NA,NA,0.0037632,0.0087024,NA,NA,NA,12.32448,good,NA,20/10/2013,25
66,ABA-00,2013,10,20,6,6,0.25,15.4056,0.027048,0.0009408,0.0018816,NA,NA,0.00588,NA,NA,NA,NA,15.4056,good,NA,20/10/2013,25
67,ABA-00,2013,10,20,7,7,0.25,12.51264,NA,NA,0.0028224,NA,NA,0.0131712,NA,NA,NA,NA,12.51264,good,NA,20/10/2013,25
68,ABA-00,2013,10,20,8,8,0.25,12.01872,0.0303408,NA,0.007056,NA,NA,0.1686384,NA,NA,NA,NA,12.01872,good,NA,20/10/2013,25
69,ABA-00,2013,10,20,9,9,0.25,16.36992,NA,NA,0.0061152,NA,NA,NA,NA,NA,NA,NA,16.36992,good,NA,20/10/2013,25
70,ABA-00,2013,10,20,10,10,0.25,23.8728,NA,NA,0.0014112,NA,NA,0.0032928,NA,NA,NA,NA,23.8728,good,NA,20/10/2013,25
71,ABA-00,2013,10,20,11,11,0.25,25.5192,0.043512,0.0171696,0.0127008,NA,NA,0.0402192,0.0018816,NA,NA,NA,25.5192,good,NA,20/10/2013,25
72,ABA-00,2013,10,20,12,12,0.25,1.90512,0.004704,NA,0.0018816,NA,NA,0.014112,0.0002352,NA,NA,NA,1.90512,good,NA,20/10/2013,25
73,ABA-00,2013,11,20,1,1,0.25,24.43045161,0.029969032,NA,0.001896774,NA,NA,0.056903226,0.004552258,NA,NA,NA,24.43045161,good,NA,20/11/2013,31
74,ABA-00,2013,11,20,2,2,0.25,19.82129032,0.015174194,NA,0.000948387,NA,0.000948387,0.006069677,NA,NA,NA,NA,19.82129032,good,NA,20/11/2013,31
75,ABA-00,2013,11,20,3,3,0.25,9.616645161,0.01688129,NA,0.004172903,NA,NA,0.006259355,0.008535484,NA,NA,NA,9.616645161,good,NA,20/11/2013,31
76,ABA-00,2013,11,20,4,4,0.25,8.82,0.004172903,NA,0.01176,NA,NA,0.002655484,0.009673548,NA,NA,NA,8.82,good,NA,20/11/2013,31
77,ABA-00,2013,11,20,5,5,0.25,1.85883871,0.068852903,NA,0.012329032,NA,NA,0.011380645,0.001517419,NA,NA,NA,1.85883871,good,NA,20/11/2013,31
78,ABA-00,2013,11,20,6,6,0.25,0.132774194,NA,NA,0.002655484,NA,NA,0.002845161,NA,NA,NA,NA,0.132774194,good,NA,20/11/2013,31
79,ABA-00,2013,11,20,7,7,0.25,1.043225806,0.002276129,NA,0.002276129,NA,NA,0.001327742,NA,NA,NA,NA,1.043225806,good,NA,20/11/2013,31
80,ABA-00,2013,11,20,8,8,0.25,1.479483871,0.019157419,NA,0.003224516,NA,NA,0.002465806,0.002655484,NA,NA,NA,1.479483871,good,NA,20/11/2013,31
81,ABA-00,2013,11,20,9,9,0.25,18.26593548,NA,NA,0.003983226,NA,NA,0.000379355,NA,NA,NA,NA,18.26593548,good,NA,20/11/2013,31
82,ABA-00,2013,11,20,10,10,0.25,26.08064516,0.035090323,NA,0.009104516,NA,0.00588,0.063541935,0.003793548,NA,NA,NA,26.08064516,good,NA,20/11/2013,31
83,ABA-00,2013,11,20,11,11,0.25,24.14593548,0.085165161,NA,0.059179355,NA,0.00663871,NA,0.00663871,NA,NA,NA,24.14593548,good,NA,20/11/2013,31
84,ABA-00,2013,11,20,12,12,0.25,22.91303226,0.00663871,NA,0.002086452,NA,0.002655484,0.012708387,0.001138065,NA,NA,NA,22.91303226,good,NA,20/11/2013,31
85,ABA-00,2013,12,10,1,1,0.25,1.6758,0.03675,NA,0.002646,NA,NA,0.14406,0.00735,NA,NA,NA,1.6758,good,NA,10/12/2013,20
86,ABA-00,2013,12,10,2,2,0.25,25.1958,0.033516,NA,0.002352,NA,NA,0.014406,0.004116,NA,NA,NA,25.1958,good,NA,10/12/2013,20
87,ABA-00,2013,12,10,3,3,0.25,18.7572,0.008526,NA,0.003528,NA,0.016464,0.005292,0.000882,NA,NA,NA,18.7572,good,NA,10/12/2013,20
88,ABA-00,2013,12,10,4,4,0.25,9.2022,0.001764,NA,0.000882,NA,NA,NA,NA,NA,NA,NA,9.2022,good,NA,10/12/2013,20
89,ABA-00,2013,12,10,5,5,0.25,12.9066,0.021168,NA,0.00735,NA,NA,0.001176,NA,NA,NA,NA,12.9066,good,NA,10/12/2013,20
90,ABA-00,2013,12,10,6,6,0.25,10.5546,0.014112,NA,0.005292,NA,NA,0.007644,0.000588,NA,NA,NA,10.5546,good,NA,10/12/2013,20
91,ABA-00,2013,12,10,7,7,0.25,9.261,0.119364,NA,0.003528,NA,NA,0.007938,0.002058,NA,NA,NA,9.261,good,NA,10/12/2013,20
92,ABA-00,2013,12,10,8,8,0.25,68.0022,0.163464,NA,0.00882,NA,NA,0.00294,0.002058,NA,NA,NA,68.0022,good,NA,10/12/2013,20
93,ABA-00,2013,12,10,9,9,0.25,17.1108,NA,NA,0.004116,NA,NA,0.003234,NA,NA,NA,NA,17.1108,good,NA,10/12/2013,20
94,ABA-00,2013,12,10,10,10,0.25,21.9912,0.024108,NA,0.00441,NA,NA,0.004998,0.002058,NA,NA,NA,21.9912,good,NA,10/12/2013,20
95,ABA-00,2013,12,10,11,11,0.25,14.8176,0.027048,0.012642,0.019404,NA,NA,0.012642,0.004704,NA,NA,NA,14.8176,good,NA,10/12/2013,20
96,ABA-00,2013,12,10,12,12,0.25,23.4612,NA,0.003234,NA,NA,NA,0.004116,NA,NA,NA,NA,23.4612,good,NA,10/12/2013,20
97,ABA-00,2014,1,12,1,1,0.25,6.076,0.033141818,0.000712727,NA,NA,NA,0.020490909,0.004276364,NA,NA,NA,6.076,good,NA,12/01/2014,33
98,ABA-00,2014,1,12,2,2,0.25,18.79818182,0.013898182,NA,0.006236364,NA,NA,0.003741818,NA,NA,NA,NA,18.79818182,good,NA,12/01/2014,33
99,ABA-00,2014,1,12,3,3,0.25,15.16327273,0.03528,NA,0.006592727,NA,NA,0.00784,0.001425455,NA,NA,NA,15.16327273,good,NA,12/01/2014,33
100,ABA-00,2014,1,12,4,4,0.25,10.04945455,NA,0.006592727,NA,NA,NA,0.000534545,0.000178182,NA,NA,NA,10.04945455,good,NA,12/01/2014,33
101,ABA-00,2014,1,12,5,5,0.25,14.73563636,0.012829091,NA,0.010512727,NA,NA,0.001069091,NA,NA,NA,NA,14.73563636,good,NA,12/01/2014,33
102,ABA-00,2014,1,12,6,6,0.25,10.95818182,NA,0.002850909,0.000534545,NA,NA,0.002494545,NA,NA,NA,NA,10.95818182,good,NA,12/01/2014,33
103,ABA-00,2014,1,12,7,7,0.25,9.212,0.004810909,NA,0.001069091,NA,NA,0.002494545,NA,NA,NA,NA,9.212,good,NA,12/01/2014,33
104,ABA-00,2014,1,12,8,8,0.25,15.84036364,0.004454545,NA,0.002138182,NA,NA,0.00588,NA,NA,NA,NA,15.84036364,good,NA,12/01/2014,33
105,ABA-00,2014,1,12,9,9,0.25,0.819636364,0.004632727,0.000712727,0.001425455,NA,NA,0.004989091,NA,NA,NA,NA,0.819636364,good,NA,12/01/2014,33
106,ABA-00,2014,1,12,10,10,0.25,8.713090909,0.014610909,NA,0.005345455,NA,NA,0.022985455,0.001069091,NA,NA,NA,8.713090909,good,NA,12/01/2014,33
107,ABA-00,2014,1,12,11,11,0.25,15.12763636,0.067352727,0.018352727,0.036705455,NA,NA,0.012116364,NA,NA,NA,NA,15.12763636,good,NA,12/01/2014,33
108,ABA-00,2014,1,12,12,12,0.25,1.817454545,NA,NA,0.00196,NA,NA,0.000890909,NA,NA,NA,NA,1.817454545,good,NA,12/01/2014,33
109,ABA-00,2014,2,9,1,1,0.25,8.421,0.04116,NA,NA,NA,NA,0.04704,NA,NA,NA,NA,8.421,good,NA,09/02/2014,28
110,ABA-00,2014,2,9,2,2,0.25,14.217,0.00525,NA,NA,NA,NA,0.0105,NA,NA,NA,NA,14.217,good,NA,09/02/2014,28
111,ABA-00,2014,2,9,3,3,0.25,73.941,0.49224,NA,0.00147,NA,NA,0.98868,0.0357,NA,NA,NA,73.941,good,NA,09/02/2014,28
112,ABA-00,2014,2,9,4,4,0.25,21.525,0.07476,NA,0.00063,NA,0.00294,0.06951,0.0126,NA,NA,NA,21.525,good,NA,09/02/2014,28
113,ABA-00,2014,2,9,5,5,0.25,10.017,0.03087,NA,0.00672,NA,NA,0.00168,NA,NA,NA,NA,10.017,good,NA,09/02/2014,28
114,ABA-00,2014,2,9,6,6,0.25,10.773,NA,NA,0.00063,NA,0.00252,0.00126,NA,NA,NA,NA,10.773,good,NA,09/02/2014,28
115,ABA-00,2014,2,9,7,7,0.25,9.198,0.02541,0.00168,0.00189,NA,NA,0.0063,NA,NA,NA,NA,9.198,good,NA,09/02/2014,28
116,ABA-00,2014,2,9,8,8,0.25,12.474,0.01323,NA,0.00504,NA,NA,0.01953,NA,NA,NA,NA,12.474,good,NA,09/02/2014,28
117,ABA-00,2014,2,9,9,9,0.25,12.054,NA,NA,0.00126,NA,NA,0.00021,NA,NA,NA,NA,12.054,good,NA,09/02/2014,28
118,ABA-00,2014,2,9,10,10,0.25,6.216,0.01155,0.00252,0.0063,NA,0.00042,0.00126,NA,NA,NA,NA,6.216,good,NA,09/02/2014,28
119,ABA-00,2014,2,9,11,11,0.25,15.372,0.07959,0.00903,0.00378,NA,NA,0.05754,NA,NA,NA,NA,15.372,good,NA,09/02/2014,28
120,ABA-00,2014,2,9,12,12,0.25,16.779,NA,NA,0.00021,NA,NA,0.00063,NA,NA,NA,NA,16.779,good,NA,09/02/2014,28
121,ABA-00,2014,3,16,1,1,0.25,1.2264,0.004536,NA,0.003696,NA,0.003024,0.025536,NA,NA,NA,NA,1.2264,good,NA,16/03/2014,35
122,ABA-00,2014,3,16,2,2,0.25,19.2024,0.117432,NA,0.003024,NA,NA,0.0924,NA,NA,NA,NA,19.2024,good,NA,16/03/2014,35
123,ABA-00,2014,3,16,3,3,0.25,15.3552,NA,NA,0.01428,NA,NA,0.045024,0.01428,NA,NA,NA,15.3552,good,NA,16/03/2014,35
124,ABA-00,2014,3,16,4,4,0.25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,good,NA,16/03/2014,35
