plot_code                 ,cwd_transect_num,transect_area_m2,measurement_num,year                     ,month                    ,day                      ,sub_transect_start_point,sub_transect_end_point,size_class,decay_class,diameter_top_1_cm,diameter_top_2_cm,diameter_bottom_1_cm,diameter_bottom_2_cm,length_cm,forest_weight_total_g,forest_weight_sample_g,dry_weight_sample_g,quality_code,is_stock,include_as_branch_npp,note,DaysBetween
LPG-01,1,200,69,2013,4,29,,,,4,,,,2.5,26,,,,,Y,N,,
LPG-01,1,200,70,2013,4,29,,,,3,,,,3.2,50,,,,,Y,N,,
LPG-01,1,200,71,2013,4,29,,,,2,,,,2.2,33,,,,,Y,N,,
LPG-01,1,200,72,2013,4,29,,,,4,,,,2.4,48,,,,,Y,N,,
LPG-01,1,200,73,2013,4,29,,,,3,,,,2.6,38,,,,,Y,N,,
LPG-01,1,200,74,2013,4,29,,,,2,,,,2.2,43,,,,,Y,N,,
LPG-01,1,200,75,2013,4,29,,,,3,,,,4.2,35,,,,,Y,N,,
LPG-01,1,200,76,2013,4,29,,,,4,,,,3.6,27,,,,,Y,N,,
LPG-01,1,200,77,2013,4,29,,,,3,,,,2.4,32,,,,,Y,N,,
LPG-01,1,200,78,2013,4,29,,,,2,,,,2.6,36,,,,,Y,N,,
LPG-01,1,200,79,2013,4,29,,,,3,,,,2,64,,,,,Y,N,,
LPG-01,1,200,80,2013,4,29,,,,2,,,,2.5,62,,,,,Y,N,,
LPG-01,1,200,81,2013,4,29,,,,3,,,,2.2,37,,,,,Y,N,,
LPG-01,1,200,82,2013,4,29,,,,4,,,,2.5,23,,,,,Y,N,,
LPG-01,1,200,83,2013,4,29,,,,3,,,,2.7,23,,,,,Y,N,,
LPG-01,1,200,84,2013,4,29,,,,4,,,,5.1,15,,,,,Y,N,,
LPG-01,1,200,85,2013,4,29,,,,4,,,,5.9,15,,,,,Y,N,,
LPG-01,1,200,86,2013,4,29,,,,3,,,,4.9,19,,,,,Y,N,,
LPG-01,1,200,87,2013,4,29,,,,4,,,,3.5,27,,,,,Y,N,,
LPG-01,1,200,88,2013,4,29,,,,4,,,,3.1,25,,,,,Y,N,,
LPG-01,1,200,89,2013,4,29,,,,2,,,,2.2,36,,,,,Y,N,,
LPG-01,1,200,90,2013,4,29,,,,4,,,,4.7,15,,,,,Y,N,,
LPG-01,1,200,91,2013,4,29,,,,5,,,,2.5,17,,,,,Y,N,,
LPG-01,1,200,92,2013,4,29,,,,4,,,,3.3,16,,,,,Y,N,,
LPG-01,1,200,93,2013,4,29,,,,5,,,,2.2,20,,,,,Y,N,,
LPG-01,1,200,94,2013,4,29,,,,5,,,,4.9,20,,,,,Y,N,,
LPG-01,1,200,95,2013,4,29,,,,5,,,,3.3,16,,,,,Y,N,,
LPG-01,1,200,96,2013,4,29,,,,5,,,,4.5,19,,,,,Y,N,,
LPG-01,1,200,97,2013,4,29,,,,3,,,,3,19,,,,,Y,N,,
LPG-01,1,200,98,2013,4,29,,,,4,,,,2.7,21,,,,,Y,N,,
LPG-01,1,200,99,2013,4,29,,,,4,,,,3.9,20,,,,,Y,N,,
LPG-01,1,200,100,2013,4,29,,,,4,,,,2.4,21,,,,,Y,N,,
LPG-01,1,200,101,2013,4,29,,,,5,,,,2.1,17,,,,,Y,N,,
LPG-01,1,200,102,2013,4,29,,,,5,,,,2.2,9,,,,,Y,N,,
LPG-01,1,200,103,2013,4,29,,,,4,,,,2.5,19,,,,,Y,N,,
LPG-01,1,200,104,2013,4,29,,,,3,,,,6.5,95,,,,,Y,N,,
LPG-01,1,200,105,2013,4,29,,,,4,,,,6,91,,,,,Y,N,,
LPG-01,1,200,106,2013,4,29,,,,4,,,,7.7,63,,,,,Y,N,,
LPG-01,1,200,107,2013,4,29,,,,4,,,,7.1,53,,,,,Y,N,,
LPG-01,1,200,108,2013,4,29,,,,5,,,,6.7,74,,,,,Y,N,,
LPG-01,1,200,109,2013,4,29,,,,4,,,,7.8,54,,,,,Y,N,,
LPG-01,1,200,110,2013,4,29,,,,5,,,,5.8,43,,,,,Y,N,,
LPG-01,1,200,111,2013,4,29,,,,3,,,,5,76,,,,,Y,N,,
LPG-01,1,200,112,2013,4,29,,,,4,,,,5.3,33,,,,,Y,N,,
LPG-01,1,200,113,2013,4,29,,,,4,,,,5.8,70,,,,,Y,N,,
LPG-01,1,200,114,2013,4,29,,,,2,,,,5.2,70,,,,,Y,N,,
LPG-01,1,200,115,2013,4,29,,,,4,,,,4.6,37,,,,,Y,N,,
LPG-01,1,200,116,2013,4,29,,,,2,,,,6.3,100,,,,,Y,N,,
LPG-01,1,200,117,2013,4,29,,,,3,,,,4.6,60,,,,,Y,N,,
LPG-01,1,200,118,2013,4,29,,,,3,,,,6.9,36,,,,,Y,N,,
LPG-01,1,200,119,2013,4,29,,,,2,,,,3.5,76,,,,,Y,N,,
LPG-01,1,200,120,2013,4,29,,,,2,,,,4.1,75,,,,,Y,N,,
LPG-01,1,200,121,2013,4,29,,,,4,,,,4.8,58,,,,,Y,N,,
LPG-01,1,200,122,2013,4,29,,,,2,,,,4.4,48,,,,,Y,N,,
LPG-01,1,200,123,2013,4,29,,,,2,,,,4.1,115,,,,,Y,N,,
LPG-01,1,200,124,2013,4,29,,,,2,,,,4.8,48,,,,,Y,N,,
LPG-01,1,200,125,2013,4,29,,,,3,,,,4.5,115,,,,,Y,N,,
LPG-01,1,200,126,2013,4,29,,,,3,,,,2.8,164,,,,,Y,N,,
LPG-01,1,200,127,2013,4,29,,,,1,,,,2.3,115,,,,,Y,N,,
LPG-01,1,200,128,2013,4,29,,,,4,,,,3,51,,,,,Y,N,,
LPG-01,1,200,129,2013,4,29,,,,2,,,,2.4,175,,,,,Y,N,,
LPG-01,1,200,130,2013,4,29,,,,3,,,,3.3,115,,,,,Y,N,,
LPG-01,1,200,131,2013,4,29,,,,2,,,,3.5,83,,,,,Y,N,,
LPG-01,1,200,132,2013,4,29,,,,3,,,,3.5,83,,,,,Y,N,,
LPG-01,1,200,133,2013,4,29,,,,3,,,,9.5,43,,,,,Y,N,,
LPG-01,1,200,134,2013,4,29,,,,3,,,,3.9,30,,,,,Y,N,,
